County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over,FID
Alabama,Covington,48.43,51.57,7.2,16.65,7.69,9.7,11.96,14.96,13.46,9.86,8.51,84.47,12.81,0.21,0.5,0.14,0.81,0.64,1.33,83.9,38.63,26.16,16.49,7.83,10.89,88
Alabama,Crenshaw,48.28,51.72,7.2,18.16,7.39,9.77,12.85,15.26,13.47,8.55,7.34,73.32,20.86,0.83,3.82,0,0,1.32,1.29,72.06,36.73,28.31,18.29,9.4,7.27,90
Alabama,Cullman,49.4,50.6,7.36,17.19,8.44,10.71,12.87,14.66,12.83,9.2,6.73,95.54,0.91,0.68,0.44,0.02,0.58,1.25,3.94,92.62,32.61,28.88,18.32,9.14,11.05,98
Alabama,Dale,49.4,50.6,8.79,17.32,9.61,12.95,12.22,13.89,11.77,7.79,5.66,74.22,19.68,0.24,1.24,0.11,0.77,2.7,5.19,70.57,28.42,28.89,20.45,11.23,11.01,101
Alabama,Dallas,46.2,53.8,8.68,19.29,8.81,10.24,11.46,14.87,12.59,8.06,6.01,30.18,69.2,0.08,0.38,0,0.41,0.3,0.71,30.03,48.71,22.31,13.12,7.7,8.15,110
Alabama,DeKalb,49.38,50.62,8.58,18.66,8.01,11.48,13.58,13.66,12.13,8.04,5.85,91.1,1.58,1.53,0.3,0.01,2.2,1.79,12.06,81.74,36.05,30.46,17.45,8.05,7.98,112
Alabama,Elmore,48.79,51.21,7.4,17.64,9.04,11.98,14.66,15.46,11.92,7.24,4.66,74.45,19.69,0.37,0.61,0,1.57,1.22,2.48,73.7,21.57,25.68,21.11,13.64,17.99,118
Alabama,Hale,47.37,52.63,7.28,19.16,8.25,9.71,11.31,15.81,13.45,8.2,6.84,40.97,60.72,0.29,0.23,0,0,0.37,0.36,40.62,44.57,28.58,13.64,6.88,6.33,150
Alabama,Etowah,48.48,51.52,7.06,17.25,8.33,10.38,13.36,14.26,13.55,8.71,7.1,81.81,14.99,0.41,0.59,0.04,0.39,1.42,3.07,79.57,33.8,30.56,15.26,9.15,11.24,131
Alabama,Fayette,49.34,50.66,6.88,16.95,7.81,9.31,12.27,14.82,14.08,10.25,7.63,87.74,11.33,0.17,0.18,0,0,1.91,1.07,87,36.67,32.77,16.86,7.76,5.93,134
Alabama,Franklin,49.92,50.08,8.41,17.86,8.75,11.3,13.2,13.52,11.75,8.69,6.53,86.4,4.19,0.92,0.2,0.41,5.81,1.06,13.04,80.42,37.85,27.56,18.55,7.67,8.37,138
Alabama,Geneva,48.92,51.08,7.04,16.69,7.94,9.55,12.74,14.77,13.83,10.03,7.42,86.43,10.12,0.19,0.12,0,0.53,1.69,3.17,84.15,39.12,31.04,15.97,6.87,7.01,140
Alabama,Greene,47.22,52.78,7.45,18.56,8.57,8.73,10.24,15.33,15.04,8.39,7.68,18.39,82.3,0.34,0.1,0,1.07,0.12,1.07,18.39,52.67,18.85,16.41,6.25,5.82,148
Alabama,Lee,49.29,50.71,7.43,17.17,20.21,12.06,12.31,12.23,9.53,5.37,3.7,70.02,21.94,0.36,2.44,0.11,0.35,1.05,2.9,67.66,33.41,24.16,18.02,10.46,13.95,187
Alabama,Henry,47.98,52.02,6.55,17.16,6.91,9.73,12.33,14.43,15.3,10.1,7.49,67.47,29.02,0,1.85,0,0.66,0.12,1.93,66.41,34.16,29.78,13.07,12.98,10.01,158
Alabama,Houston,48,52,7.93,17.92,8.28,11.42,13.02,14.54,12.44,8.04,6.41,68.78,24.77,0.44,0.79,0.02,1.27,1.46,2.57,67.62,31.37,26.83,17.14,10.9,13.76,160
Alabama,Jackson,49.11,50.89,6.82,17.05,7.5,10,13.3,14.99,13.85,10,6.48,92.37,3.36,1.23,0.2,0.01,0.33,2.8,2.28,90.55,36.58,29.13,17.46,9.39,7.44,164
Alabama,Jefferson,47.35,52.65,7.93,16.91,9.94,12.68,12.7,14.46,12.25,6.72,6.4,54.39,41.67,0.17,1.36,0.03,1.35,0.79,3.43,52.41,28.06,26.37,17.73,10.4,17.42,171
Alabama,Lamar,48.73,51.27,7.13,16.17,7.14,9.03,12.46,15.17,14.14,10.62,8.14,88.05,12.39,0.25,0,0,0.07,0.47,1.19,86.96,39.25,29.59,15.43,9.03,6.7,174
Alabama,Lauderdale,47.87,52.13,6.72,16.33,10.69,9.79,12.31,14.32,13.06,9.19,7.59,86.41,10.13,0.43,0.66,0,0.43,0.92,2.02,85.09,34.03,26.04,15.79,10.84,13.3,176
Alabama,Lawrence,48.9,51.1,7.49,17.11,7.91,10.1,13.77,15.96,13.1,8.84,5.72,77.83,11.19,5.22,0.2,0,0.52,4.73,1.74,76.76,30.44,29.54,19.25,11.83,8.93,181
Alabama,Monroe,48.16,51.84,7.38,19.42,7.52,9.49,12.45,14.7,13.35,8.6,7.08,56.27,41.07,1.27,0.44,0,0.5,1.58,1.08,55.93,41.29,27.37,13.17,10.64,7.53,250
Alabama,Limestone,50.63,49.37,7.74,17.5,8.02,12.07,14.76,15.66,11.94,7.4,4.9,78.72,12.13,0.58,0.96,0,1.34,1.23,4.73,75.53,25.07,27.83,18.15,11.34,17.61,197
Alabama,Lowndes,46.81,53.19,7.75,17.93,8.78,9.42,11.63,16.49,13.36,8.73,5.92,26.73,75.81,0.27,0.03,0,0.38,0.6,0.94,26.23,44.38,25.71,14.1,6.92,8.89,205
Alabama,Macon,45.8,54.2,6.61,16.75,16.38,8.98,10.51,13.24,13.4,7.74,6.39,15.24,84.09,0.21,0.01,0,0.07,1.53,0.65,15.14,45.16,23.98,14.54,8.42,7.89,210
Alabama,Madison,49.08,50.92,7.51,17.76,10.26,11.67,13.25,16.07,11.27,6.91,5.29,67.46,22.72,0.57,2.35,0.1,0.84,2.47,3.89,64.7,22.16,22.79,17.5,12.23,25.32,217
Alabama,Marengo,47.14,52.86,7.39,18.99,7.79,9.29,12.46,14.51,13.29,8.67,7.62,46.43,53.78,0.15,0,0,0.16,0.76,0.34,46.32,42.27,27.49,14,5.86,10.38,220
Alabama,Marion,49.69,50.31,6.68,16.23,7.39,9.56,13.43,14.69,13.68,10.69,7.66,93.72,2.9,0.19,0.84,0,1.03,1.37,1.91,92.81,39.62,26.69,18.03,7.86,7.79,224
Alabama,Mobile,48.03,51.97,8.15,18.41,9.9,11.6,12.45,14.52,12.06,7.26,5.65,60.62,34.1,0.73,1.79,0.02,0.5,1.17,2.14,59.04,31.57,26.95,18.21,10.53,12.74,240
Alabama,Marshall,49.28,50.72,8.43,17.99,8.63,10.93,13.09,13.98,12.05,8.61,6.29,91.73,1.58,0.76,0.5,0.06,1.73,1.33,10.63,83.28,34.89,27.12,16.98,9.6,11.42,231
Alabama,St. Clair,50.13,49.87,7.98,17.03,7.78,12.32,14.21,15.11,12.51,7.99,5.06,86.19,8.26,0.38,0.46,0.01,0.19,1,1.9,84.57,24.66,26.2,21.64,13.35,14.15,292
Alabama,Montgomery,47.6,52.4,8.24,17.77,11.42,12.73,12.88,13.76,11.25,6.44,5.52,41.74,53.52,0.33,1.88,0.03,0.76,1.14,3.13,39.74,28.89,26.57,16.38,12.08,16.08,256
Alabama,Morgan,49.28,50.72,7.61,17.7,8.28,11.35,13.45,15.05,12.45,8.1,6.02,81.29,11.63,0.9,0.64,0.05,2.33,1.61,6.68,77.49,28.37,26.89,18.84,10.92,14.97,262
Alabama,Perry,47.02,52.98,7.46,18.81,12.05,9.45,10.4,13.13,12,9.09,7.61,29.99,69.57,0.23,0,0,0,1.1,1.17,29.8,49.01,31.03,11.08,5.12,3.76,264
Alabama,Pickens,47.75,52.25,7.23,17.56,8.25,9.43,11.69,15.29,13.64,9.3,7.6,57.39,42.54,0.07,0.02,0,0.12,0.72,1.14,56.39,46.29,23.25,15.53,8.72,6.21,273
Alabama,Pike,47.72,52.28,6.58,16.3,20.44,10.3,10.65,11.93,11,7.4,5.4,57.65,35.45,0.82,1.84,0,0.48,1.47,2.14,56.38,43.9,25.21,14.19,6.19,10.5,279
Alabama,Randolph,48.46,51.54,7.3,17.97,7.9,9.48,12.33,14.47,13.58,9.69,7.28,76.85,20.87,0.33,0,0,0.3,1.24,2.46,75.14,34.71,30.62,18.17,7.02,9.47,284
Alabama,Russell,47.76,52.24,8.85,18.08,9.79,12.32,12.46,14.15,11.67,7.21,5.49,53.04,40.58,0.2,0.35,0.04,0.83,2.54,3.27,51.41,39.06,30.3,15.1,9.18,6.36,288
Alabama,Walker,48.74,51.26,6.93,16.87,7.9,10.34,12.96,14.82,13.92,9.45,6.8,92.72,6.09,0.3,0.24,0.04,0.1,1.4,1.85,91.46,34.22,27.83,17.98,9.31,10.65,317
Alabama,Shelby,48.98,51.02,8.16,18.73,7.72,12.67,15.26,15.09,11.81,6.4,4.17,81.35,9.88,0.28,1.83,0,2.03,0.93,5,78.55,14.53,21.71,18.5,15.11,30.14,298
Alabama,Sumter,45.49,54.51,6.62,17.63,14.27,8.89,10.54,14.58,12.47,7.68,7.31,24.57,74.09,0,0,0,1.42,0.71,0.73,24.27,49.43,27.81,11.49,5.11,6.16,303
Alabama,Talladega,48.7,51.3,7.22,17.63,8.35,10.99,13.65,14.87,13.2,8.18,5.9,65.76,31.93,0.26,0.42,0,0.82,0.87,1.9,64.89,34.67,28.4,19.22,8.58,9.13,306
Alabama,Tallapoosa,48.51,51.49,6.9,16.62,7.77,9.45,12.73,14.86,14.38,9.87,7.42,71.06,26.66,0.08,0.05,0,0.54,1.41,2.13,69.67,34.61,27.34,17.08,10,10.96,308
Alabama,Tuscaloosa,48.5,51.5,7.08,16.56,19.02,11.91,11.71,12.19,10.72,5.83,4.98,65.09,28.78,0.26,1.01,0.05,0.68,0.88,2.68,63.26,32.12,24.81,17.28,11.02,14.77,313
Alaska,Fairbanks North Star,52.81,47.19,9.58,17.51,13.93,14.65,12.78,13.88,11.15,4.27,2.26,75.15,4.29,6.95,2.53,0.4,1.36,6.1,5.52,71.99,14.98,21.82,19.25,16.13,27.82,454
Alabama,Washington,49.23,50.77,7.31,19.71,7.6,9.83,12.67,14.94,13.2,8.72,6.01,65.22,25.41,7.82,0.35,0.32,0,0.75,0.75,65.08,40.6,16.61,20.26,11,11.53,319
Alabama,Wilcox,47.28,52.72,7.48,21.08,7.31,9.84,11.57,14.26,13.45,8.32,6.69,27.67,75.09,0,0,0,0,0.17,0.28,27.46,54.45,20.44,13.1,5.84,6.16,326
Alabama,Winston,49.1,50.9,6.64,16.31,7.2,9.29,13.22,15.36,14.29,10.73,6.96,97.63,0.31,0.29,0.11,0,0.46,2.03,2.52,95.91,38.85,26.9,20.29,5.83,8.12,332
Alaska,Aleutians East,66.63,33.37,4.62,7.86,10.54,14.65,19.01,24.55,13.85,3.44,1.5,18.43,12.93,14.52,61.57,0.7,4.93,4.81,18.24,6.72,22.1,23.97,23.6,10.86,19.48,346
Alaska,Aleutians West,66.95,33.05,4.57,10.84,8.52,15.86,20.45,22.15,14.13,2.82,0.65,33.81,12.16,8.34,38.55,3.33,12.1,4.26,21.18,26.78,15.93,18.04,17.47,18.04,30.52,381
Alaska,Denali,54.87,45.13,7.17,16.37,4.11,11.99,14.73,20.81,17.31,6.02,1.48,54.98,1.04,2.35,0.49,0,0.6,3.18,0.49,54.71,14.02,19.39,19.16,23.6,23.83,426
