State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Montana,Teton,49.32,50.68,5.99,19.79,5.25,8.17,10.65,16.02,14.38,11.03,9.73,96.28,0.05,1.45,0.13,0.02,0.21,1.86,1.25,95.37,13.34,11.46,7.66,4.61,3.41,45.36,1.07,33.11,58.87,19.61,1146
Nebraska,Box Butte,49.0,51.0,7.54,19.65,5.89,10.58,11.25,15.7,14.94,6.92,8.23,89.75,0.46,3.62,0.3,0.02,3.35,2.5,10.23,84.58,11.93,11.3,8.27,5.08,5.8,50.59,2.5,25.57,72.67,11.16,692
Montana,Treasure,51.39,48.61,5.01,15.88,4.46,7.1,8.77,19.78,16.43,13.79,10.03,93.87,0.0,0.84,0.42,0.0,1.95,2.92,3.48,92.76,12.4,14.35,6.55,4.18,6.96,54.74,1.67,38.72,55.71,21.03,1148
Montana,Valley,49.72,50.28,6.36,18.96,4.94,8.47,10.1,15.96,15.38,10.46,10.23,86.97,0.23,9.82,0.5,0.04,0.33,2.1,1.23,86.36,10.52,13.96,8.26,5.16,4.87,48.72,1.48,29.03,59.8,18.9,1149
Montana,Wheatland,49.31,50.69,7.33,18.45,6.32,8.03,10.61,13.38,15.82,10.89,9.78,95.85,0.32,0.46,0.55,0.0,0.42,2.4,1.48,95.2,17.2,14.25,4.47,3.6,3.32,35.01,0.51,47.56,55.67,22.19,1150
Montana,Wibaux,50.44,49.56,5.7,16.81,5.01,8.26,8.65,16.03,16.13,10.23,13.67,97.64,0.0,0.39,0.49,0.0,0.29,1.18,1.28,97.05,8.65,14.65,5.51,4.62,4.82,50.84,3.44,32.84,56.44,19.86,1151
Montana,Yellowstone,48.92,51.08,7.54,17.96,9.2,12.1,12.02,15.02,12.66,7.26,6.84,90.71,0.63,3.97,0.63,0.08,1.19,2.78,4.7,88.17,9.62,11.06,8.09,5.17,6.45,50.52,2.27,23.78,69.62,14.9,1152
Nebraska,Adams,49.74,50.26,7.38,18.81,11.49,9.97,10.97,14.2,12.28,7.26,8.17,91.89,0.79,0.42,1.41,0.05,4.1,1.35,8.11,88.47,10.96,10.77,8.39,5.14,4.28,51.0,2.94,24.01,68.66,11.32,686
Nebraska,Blaine,51.67,48.33,5.23,20.92,3.14,7.74,11.51,17.99,14.44,12.34,7.53,99.16,0.21,0.0,0.0,0.0,0.0,0.63,0.0,99.16,10.25,22.18,13.6,2.09,2.51,63.39,1.26,31.8,56.69,24.06,690
Nebraska,Boone,49.94,50.06,6.58,19.42,5.81,7.79,10.55,16.37,13.08,8.85,12.3,98.49,0.42,0.22,0.2,0.02,0.33,0.33,1.18,97.78,11.53,14.26,9.86,4.21,3.4,52.13,1.47,26.41,67.9,9.94,691
