County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Alaska,North Slope,704,103,356,199,46,"6,187",209,489,"2,539","1,536",478,700,236,"5,489",936,"1,659","1,435",273,"1,186","1,127",233,"2,669","2,360",323,673,567,107,23.4%,8.6%,3.2%,0.2%,"61,113","33,750","60,417","62,470","64,524","86,400",614
Alaska,Northwest Arctic,713,153,411,133,16,"4,251",200,458,"1,994",758,202,354,285,"3,593",639,"1,234","1,025",160,789,704,60,"1,635","1,464",305,593,400,114,34.0%,20.1%,11.6%,1.4%,"41,711","14,931","30,270","56,544","81,667","79,479",638
Alaska,Petersburg,236,18,155,59,4,"2,483",149,119,836,544,201,486,148,"2,215",634,370,363,87,293,266,93,935,836,223,885,750,231,5.2%,3.7%,5.8%,1.7%,"34,205","19,129","22,112","52,222","53,289","73,000",645
Alaska,Prince of Wales-Hyder,426,103,232,80,11,"4,458",66,323,"1,700","1,226",376,527,240,"4,069",767,758,667,104,690,632,85,"1,910","1,768",407,"1,100","1,002",171,28.8%,20.6%,11.3%,9.5%,"34,035","22,434","29,837","31,827","50,760","70,833",669
Alaska,Sitka,623,87,247,240,49,"6,121",122,169,"1,549","1,493",693,"1,344",751,"5,830","2,095","1,220","1,183",386,"1,246","1,226",461,"2,267","2,133",749,"1,388","1,288",499,7.2%,10.5%,3.8%,2.3%,"46,377",-,"37,865","44,063","53,846","67,804",679
Alaska,Skagway,69,5,28,32,4,"1,051",86,35,319,301,56,202,52,930,254,258,253,62,209,198,48,416,374,115,168,105,29,4.1%,4.4%,2.8%,3.5%,"45,764","75,769","40,000","34,556","61,538","77,500",683
Alaska,Southeast Fairbanks,462,95,164,117,86,"4,612",156,255,"1,624","1,173",425,500,479,"4,201",979,989,880,134,811,704,169,"1,832","1,746",447,980,871,229,26.3%,8.1%,10.5%,2.7%,"50,154",-,"42,798","40,040","73,036","64,500",690
Alaska,Wrangell,108,25,25,46,12,"1,877",21,199,611,553,176,216,101,"1,657",317,327,272,59,216,205,57,756,647,109,578,533,92,14.0%,7.3%,4.7%,0.6%,"43,819","26,397","35,000","47,054","44,702","54,125",733
Alaska,Yakutat,33,14,12,4,3,428,5,19,178,129,20,66,11,404,77,119,117,39,80,74,10,145,137,20,84,76,8,0.0%,5.6%,3.4%,6.5%,"31,570",-,"26,167","31,795","53,095",-,744
Alaska,Yukon-Koyukuk,429,48,254,103,24,"3,398",142,266,"1,430",960,150,280,170,"2,990",450,722,647,67,597,563,79,"1,286","1,163",168,793,617,136,31.0%,24.8%,17.5%,6.9%,"26,250","12,750","20,265","32,443","25,938","66,364",753
Arizona,Apache,"6,872","1,524","2,376","2,911",61,"45,607","3,805","4,654","14,235","13,709","3,499","3,496","2,209","37,148","5,705","9,366","8,378",802,"7,719","6,681",984,"17,431","14,729","2,380","11,091","7,360","1,539",44.8%,36.8%,24.7%,5.8%,"33,902","19,710","28,391","34,615","49,762","55,382",761
Arizona,Cochise,"10,912","1,908","4,232","4,413",359,"88,371","4,188","5,821","21,183","24,538","10,060","13,890","8,691","78,362","22,581","15,702","14,016","3,259","14,215","12,664","3,656","30,353","26,847","7,390","28,101","24,835","8,276",27.3%,15.6%,10.8%,6.6%,"34,248","19,484","24,776","33,574","53,620","65,025",763
Arizona,Coconino,"28,900","1,490","9,126","16,262","2,022","84,314","2,675","4,922","18,325","19,730","6,936","18,949","12,777","76,717","31,726","19,762","18,569","6,994","15,563","14,255","6,372","31,034","28,262","10,999","17,955","15,631","7,361",29.8%,17.3%,13.1%,5.3%,"36,085","21,596","28,968","31,947","42,579","58,366",771
Arizona,Gila,"3,418",897,"1,320","1,060",141,"39,740","1,295","3,768","11,390","12,311","3,342","4,784","2,850","34,677","7,634","5,349","4,459",642,"4,657","4,112",927,"14,163","12,347","2,817","15,571","13,759","3,248",32.4%,17.7%,14.2%,7.3%,"32,546","26,030","28,758","30,114","44,362","53,824",787
Arizona,Graham,"3,968",969,"1,104","1,724",171,"24,069",883,"2,659","7,298","6,927","2,736","2,422","1,144","20,527","3,566","5,765","4,777",738,"5,040","4,159",914,"7,956","7,045","1,009","5,308","4,546",905,29.2%,19.0%,17.5%,6.5%,"30,927","27,566","25,565","31,567","50,288","52,273",0
Arizona,Greenlee,"1,159",189,577,393,0,"5,721",276,573,"1,742","1,727",443,777,183,"4,872",960,857,747,135,"1,659","1,397",553,"1,996","1,744",212,"1,209",984,60,26.4%,11.1%,11.8%,5.4%,"49,277","18,333","53,353","52,616","49,495",-,1
Arizona,La Paz,"1,061",360,288,406,7,"16,600","1,181","2,064","5,488","4,686","1,218","1,378",585,"13,355","1,963","1,923","1,554",73,"1,748","1,148",239,"4,561","3,624",551,"8,368","7,029","1,100",32.3%,19.1%,17.3%,10.4%,"29,131","24,500","28,790","29,631","42,604","34,917",3
Arizona,Maricopa,"409,391","56,172","141,276","167,314","44,629","2,952,370","155,179","187,725","659,883","705,816","257,177","621,592","364,998","2,609,466","986,590","645,693","580,981","211,730","574,796","497,702","206,660","1,060,785","929,278","349,343","671,096","601,505","218,857",23.5%,12.4%,9.1%,4.8%,"42,130","25,640","32,143","40,064","56,667","72,834",9
Arizona,Mohave,"12,765","3,345","4,998","3,750",672,"162,227","6,319","15,726","55,708","48,035","14,690","13,499","8,250","140,182","21,749","21,498","17,649","2,944","19,276","16,611","3,231","57,307","49,829","7,131","64,146","56,093","8,443",21.2%,14.3%,13.2%,6.6%,"31,661","22,377","27,289","32,287","45,957","65,797",15
Arizona,Navajo,"9,173","2,440","3,868","2,490",375,"71,918","4,133","7,487","21,002","21,354","6,354","6,898","4,690","60,298","11,588","13,388","11,200",989,"11,948","10,486","2,497","26,638","22,471","4,243","19,944","16,141","3,859",41.2%,27.4%,14.9%,6.2%,"31,105","24,649","24,468","30,718","42,602","54,648",17
Arizona,Pima,"122,377","17,405","38,982","55,114","10,876","699,737","29,495","47,286","150,259","175,094","62,271","135,389","99,943","622,956","235,332","132,982","120,658","42,040","118,553","104,560","39,939","242,882","214,388","77,760","205,320","183,350","75,593",26.2%,15.9%,11.2%,6.2%,"36,383","22,651","28,296","33,857","46,341","65,222",21
Arizona,Pinal,"34,972","7,446","13,879","11,911","1,736","311,415","14,129","26,179","94,443","80,885","30,704","43,742","21,333","271,107","65,075","58,944","49,078","8,977","58,168","51,459","11,694","102,481","89,462","21,523","91,822","81,108","22,881",21.2%,12.7%,8.5%,5.0%,"38,770","25,291","35,356","39,909","50,031","53,393",26
Arizona,Santa Cruz,"4,296","1,030","1,383","1,699",184,"29,669","3,091","3,478","8,158","6,491","2,242","3,891","2,318","23,100","6,209","5,248","4,639",900,"5,111","4,477","1,323","10,975","8,688","2,210","8,335","5,296","1,776",29.8%,23.5%,12.3%,7.1%,"28,755","16,575","26,609","29,000","38,614","48,173",32
Arizona,Yavapai,"15,263","2,240","5,053","7,440",530,"179,549","3,942","10,706","46,987","53,584","17,109","26,947","20,274","164,901","47,221","20,950","19,141","3,232","20,563","18,605","4,012","64,538","58,596","16,742","73,498","68,559","23,235",17.0%,14.0%,12.3%,5.1%,"32,313","26,967","28,518","29,834","42,163","54,470",35
Arizona,Yuma,"23,836","3,589","7,303","12,010",934,"134,749","17,979","16,301","35,887","33,411","10,372","13,574","7,225","100,469","20,799","29,360","24,586","4,754","23,099","18,027","4,405","41,850","29,142","6,592","40,440","28,714","5,048",24.9%,15.3%,12.1%,5.4%,"31,337","22,546","28,246","33,660","46,607","60,362",42
Arkansas,Arkansas,"1,335",173,551,555,56,"12,360",727,"1,004","5,317","2,117","1,173","1,331",691,"10,629","2,022","2,060","1,851",491,"2,124","2,022",354,"4,770","4,156",828,"3,406","2,600",349,36.3%,17.0%,9.2%,2.4%,"36,363","23,164","32,314","34,348","46,938","58,832",46
Arkansas,Ashley,"1,827",371,806,603,47,"13,605",846,"1,173","6,606","2,431",886,"1,241",422,"11,586","1,663","1,885","1,597",198,"2,293","2,102",478,"5,332","4,606",607,"4,095","3,281",380,24.9%,16.6%,9.6%,6.8%,"37,199","22,898","37,297","35,233","39,331","50,815",50
Arkansas,Baxter,"2,361",461,957,878,65,"32,046",779,"2,818","11,248","8,250","3,262","3,773","1,916","28,449","5,689","3,900","3,425",812,"3,973","3,508","1,072","11,175","10,083","1,770","12,998","11,433","2,035",23.0%,11.6%,9.3%,3.5%,"30,466","22,819","27,095","27,801","40,976","51,536",54
Arkansas,Benton,"22,216","2,626","8,411","8,787","2,392","179,425","9,026","9,683","51,801","35,647","11,233","41,516","20,519","160,716","62,035","40,518","37,231","16,045","39,134","35,096","15,360","62,939","55,638","20,005","36,834","32,751","10,625",17.6%,8.9%,7.1%,2.2%,"42,391","27,028","33,058","39,046","61,689","84,040",59
Arkansas,Boone,"2,720",566,"1,057",995,102,"26,282",992,"2,099","9,032","7,056","2,422","2,976","1,705","23,191","4,681","4,451","4,125",745,"4,172","3,822",696,"9,821","8,641","1,921","7,838","6,603","1,319",15.6%,17.1%,10.8%,3.9%,"32,278","24,146","28,359","30,565","40,540","46,446",62
Arkansas,Bradley,667,196,241,199,31,"7,522",470,784,"3,219","1,468",541,761,279,"6,268","1,040","1,226","1,118",87,"1,628","1,350",154,"2,678","2,247",333,"1,990","1,553",466,26.1%,16.2%,8.2%,3.4%,"39,205","31,027","38,971","40,224","42,528","53,148",68
Arkansas,Calhoun,421,35,164,179,43,"3,773",105,500,"1,711",668,385,212,192,"3,168",404,612,535,55,575,568,53,"1,495","1,188",129,"1,091",877,167,21.8%,9.8%,7.6%,6.0%,"32,163","50,500","26,505","32,931","51,140","76,471",72
Arkansas,Carroll,"2,059",549,850,556,104,"19,859","1,438","1,279","7,140","4,599","1,187","2,785","1,431","17,142","4,216","2,970","2,509",382,"2,913","2,316",595,"7,527","6,526","1,652","6,449","5,791","1,587",17.0%,19.0%,9.3%,7.6%,"30,448","26,182","30,115","27,283","40,616","45,404",74
Arkansas,Chicot,843,133,435,273,2,"7,286",490,"1,099","2,757","1,509",364,741,326,"5,697","1,067","1,173",900,77,"1,071",897,219,"2,871","2,424",353,"2,171","1,476",418,29.7%,18.7%,25.8%,6.3%,"32,188","28,750","27,695","30,724","40,100","49,000",77
Arkansas,Clark,"5,067",246,"1,079","3,402",340,"13,034",423,"1,019","4,243","3,197",871,"2,154","1,127","11,592","3,281","2,399","2,169",619,"2,052","1,834",467,"4,895","4,477","1,311","3,688","3,112",884,29.2%,18.6%,13.3%,4.2%,"31,677","20,164","26,898","30,402","36,521","53,443",86
Arkansas,Clay,"1,092",241,477,337,37,"10,462",742,980,"4,336","2,138",841,751,674,"8,740","1,425","1,695","1,606",264,"1,728","1,606",318,"3,900","3,366",579,"3,139","2,162",264,28.0%,14.0%,17.3%,9.8%,"29,579","27,917","28,355","25,604","35,938","49,722",93
Arkansas,Cleburne,"1,568",276,882,368,42,"18,735",901,"1,615","7,639","4,016","1,429","1,947","1,188","16,219","3,135","2,474","2,214",247,"2,683","2,410",290,"6,853","6,075","1,414","6,725","5,520","1,184",22.5%,13.2%,12.4%,2.5%,"30,379","20,959","29,559","29,015","36,667","60,625",97
Arkansas,Cleveland,495,137,200,132,26,"5,743",88,513,"2,650","1,184",395,648,265,"5,142",913,891,882,137,929,785,161,"2,266","2,082",468,"1,657","1,393",147,18.7%,15.0%,10.4%,3.3%,"41,226","27,614","34,253","40,091","47,447","57,578",103
Arkansas,Columbia,"4,122",255,"1,190","2,492",185,"14,605",618,"1,309","6,091","2,982",613,"1,894","1,098","12,678","2,992","2,597","2,376",728,"2,529","2,143",655,"5,394","4,885",917,"4,085","3,274",692,29.0%,21.3%,19.1%,3.5%,"33,164","22,215","30,649","30,847","48,577","52,107",107
Arkansas,Conway,"1,559",162,609,673,115,"14,569",687,"1,268","6,001","2,618","1,414","1,955",626,"12,614","2,581","2,411","2,343",398,"2,331","1,980",644,"5,819","5,165","1,065","4,008","3,126",474,42.7%,16.3%,14.1%,3.5%,"31,549","20,276","26,606","32,383","49,432","66,304",109
Arkansas,Craighead,"11,935","1,016","2,816","6,644","1,459","70,184","3,176","4,231","23,627","14,180","5,952","11,739","7,279","62,777","19,018","16,705","15,407","4,911","14,242","13,114","4,760","24,270","22,155","6,228","14,967","12,101","3,119",24.4%,14.5%,15.5%,5.5%,"34,919","22,601","26,608","32,244","45,454","59,389",114
Arkansas,Crawford,"5,014",815,"2,144","1,869",186,"42,644","1,972","4,633","14,913","9,281","4,077","5,516","2,252","36,039","7,768","8,068","7,218","1,651","7,536","6,757","1,356","16,448","13,434","2,853","10,592","8,630","1,908",22.4%,14.9%,10.4%,5.5%,"35,626","26,264","30,020","32,376","50,883","60,417",115
Arkansas,Crittenden,"4,327",763,"1,516","1,892",156,"30,877","1,698","3,326","10,602","7,498","2,365","3,613","1,775","25,853","5,388","6,445","5,715","1,235","5,749","5,148","1,285","11,989","10,103","1,875","6,694","4,887",993,30.8%,18.3%,10.9%,3.9%,"36,266","26,045","27,872","31,658","49,382","56,466",119
Arkansas,Cross,"1,182",242,505,399,36,"11,444",747,"1,380","4,610","2,270",756,937,744,"9,317","1,681","1,994","1,752",359,"2,053","1,606",244,"4,336","3,674",673,"3,061","2,285",405,34.3%,14.0%,10.5%,1.2%,"34,000","23,811","31,415","31,772","51,771","49,375",124
Arkansas,Dallas,586,119,277,157,33,"5,012",196,448,"2,281","1,154",382,456,95,"4,368",551,800,725,65,645,597,123,"1,928","1,676",254,"1,639","1,370",109,24.7%,11.1%,13.4%,3.9%,"31,296","32,500","25,690","30,000","50,000","46,750",128
Arkansas,Desha,854,143,374,300,37,"7,722",538,999,"3,482","1,351",270,804,278,"6,185","1,082","1,246","1,047",177,"1,352","1,263",234,"2,960","2,356",447,"2,164","1,519",224,32.1%,19.8%,19.9%,3.3%,"28,111","23,023","27,092","26,496","39,180","47,417",130
Arkansas,Drew,"2,655",208,604,"1,624",219,"11,636",458,"1,091","4,299","2,472",682,"1,740",894,"10,087","2,634","2,176","1,957",524,"1,880","1,769",559,"4,298","3,926","1,006","3,282","2,435",545,20.2%,20.3%,11.2%,3.3%,"36,811","24,801","30,260","33,718","61,250","51,591",136
Arkansas,Faulkner,"18,626",863,"4,246","11,070","2,447","77,350","2,116","4,024","23,710","16,949","5,729","15,384","9,438","71,210","24,822","17,995","17,215","6,153","15,636","15,072","6,039","28,135","25,702","8,208","15,584","13,221","4,422",24.8%,17.1%,10.8%,5.7%,"40,060","26,558","31,099","36,532","49,882","63,635",141
Arkansas,Franklin,"1,535",234,777,437,87,"12,178",595,"1,100","5,156","2,868","1,085","1,058",316,"10,483","1,374","1,930","1,898",213,"2,042","1,990",493,"4,663","3,914",430,"3,543","2,681",238,17.3%,23.9%,14.5%,15.6%,"31,761","28,551","28,493","35,742","40,677","61,587",144
Arkansas,Fulton,770,90,388,285,7,"8,978",562,836,"3,302","2,463",634,699,482,"7,580","1,181","1,105","1,006",102,"1,210","1,039",178,"3,461","2,940",479,"3,202","2,595",422,23.6%,17.8%,23.8%,1.6%,"29,118","34,100","22,083","26,335","41,658","56,136",146
Arkansas,Garland,"7,232",908,"3,091","2,634",599,"71,918","2,079","5,575","22,428","19,333","6,111","10,938","5,454","64,264","16,392","11,178","10,152","2,150","11,122","9,983","2,535","26,122","23,542","5,920","23,496","20,587","5,787",23.6%,18.0%,12.6%,4.3%,"30,835","23,750","25,655","29,566","45,401","57,765",151
Arkansas,Grant,"1,350",136,706,479,29,"12,785",288,966,"5,044","3,037",850,"1,809",791,"11,531","2,600","2,240","2,127",425,"2,255","2,137",577,"5,094","4,551","1,064","3,196","2,716",534,38.9%,14.1%,6.6%,3.2%,"43,036","39,667","37,125","39,209","56,349","90,250",155
Arkansas,Greene,"3,822",629,"1,430","1,389",374,"30,344",816,"2,521","13,483","6,473","1,809","3,541","1,701","27,007","5,242","6,130","5,484","1,248","5,659","5,281","1,219","11,326","10,220","1,877","7,229","6,022",898,26.2%,14.9%,12.9%,2.8%,"33,932","25,699","29,353","32,823","44,048","53,438",162
Arkansas,Hempstead,"1,826",267,758,708,93,"14,358","1,059","1,238","5,532","2,851","1,375","1,461",842,"12,061","2,303","2,187","2,032",424,"2,607","2,135",504,"5,627","4,509",683,"3,937","3,385",692,42.7%,17.8%,12.5%,2.3%,"31,607","20,966","30,859","32,181","43,571","54,406",172
Arkansas,Hot Spring,"2,355",361,853,954,187,"24,135",800,"2,226","9,279","6,212","1,917","2,417","1,284","21,109","3,701","4,568","4,140",609,"4,170","3,623",679,"9,088","8,119","1,378","6,309","5,227","1,035",31.8%,13.4%,12.3%,3.5%,"32,257","21,656","29,476","32,356","36,729","50,893",184
Arkansas,Howard,"1,046",227,322,478,19,"8,767",316,910,"3,508","2,044",780,900,309,"7,541","1,209","1,316","1,197",245,"1,890","1,618",303,"3,187","2,817",398,"2,374","1,909",263,17.5%,17.4%,10.9%,9.8%,"26,531","25,019","23,086","29,500","40,819","39,261",191
Arkansas,Independence,"3,366",409,836,"2,008",113,"25,211","1,159","2,483","9,320","5,630","1,954","3,171","1,494","21,569","4,665","4,406","3,921",669,"4,491","4,125","1,337","9,797","8,380","1,525","6,517","5,143","1,134",28.1%,14.2%,9.2%,4.1%,"32,457","23,446","28,400","31,186","44,518","55,848",200
Arkansas,Izard,882,139,347,353,43,"10,344",711,"1,152","3,696","2,347",934,"1,035",469,"8,481","1,504","1,524","1,274",141,"1,384","1,227",225,"3,975","3,319",579,"3,461","2,661",559,26.3%,10.1%,9.6%,8.1%,"27,193","25,942","21,425","28,542","41,458","54,792",203
Arkansas,Jackson,"1,373",225,747,332,69,"12,163",707,"1,332","5,266","2,537",898,885,538,"10,124","1,423","2,423","2,148",277,"2,360","2,090",256,"4,359","3,643",566,"3,021","2,243",324,31.9%,18.4%,15.6%,10.5%,"28,408","18,352","26,227","27,368","48,875","56,219",209
Arkansas,Jefferson,"6,986",705,"2,991","2,905",385,"46,169","1,779","4,036","18,542","10,753","2,752","5,489","2,818","40,354","8,307","8,699","7,722","1,216","8,017","7,109","1,337","17,667","15,673","3,348","11,786","9,850","2,406",40.3%,18.6%,13.4%,5.2%,"32,414","22,660","28,538","33,925","44,016","44,637",213
Arkansas,Johnson,"2,590",374,898,"1,083",235,"17,447","1,479","2,040","7,231","3,035",783,"1,837","1,042","13,928","2,879","3,045","2,545",616,"3,220","2,505",521,"6,831","5,411","1,179","4,351","3,467",563,25.9%,18.7%,9.3%,4.1%,"29,809","22,185","26,673","32,871","36,037","62,188",218
Arkansas,Lafayette,592,109,215,186,82,"4,857",372,649,"2,064",811,279,528,154,"3,836",682,611,530,52,699,640,139,"1,954","1,590",311,"1,593","1,076",180,31.8%,19.2%,17.3%,10.8%,"27,070","25,478","24,858","30,032","35,109","53,264",222
Arkansas,Lawrence,"1,605",134,696,674,101,"11,280",694,"1,150","4,217","2,913",680,"1,097",529,"9,436","1,626","1,939","1,817",372,"1,869","1,743",335,"4,252","3,587",638,"3,220","2,289",281,20.9%,15.1%,11.8%,2.6%,"29,956","20,459","28,880","29,111","32,143","51,122",230
Arkansas,Lee,789,220,386,174,9,"6,538",406,"1,019","2,966","1,181",398,457,111,"5,113",568,"1,239","1,023",155,"1,230","1,098",68,"2,337","1,909",190,"1,732","1,083",155,30.7%,27.4%,15.8%,8.8%,"29,689","29,273","27,535","31,134","35,858","34,375",237
Arkansas,Lincoln,"1,076",311,471,191,103,"9,974",617,"1,447","4,754","1,790",517,579,270,"7,910",849,"2,348","1,806",99,"2,055","1,729",178,"3,522","2,782",231,"2,049","1,593",341,23.2%,11.4%,14.0%,7.7%,"29,638","29,471","24,293","30,952","40,223","46,012",244
Arkansas,Little River,844,98,398,327,21,"8,756",152,744,"3,804","2,180",625,875,376,"7,860","1,251","1,238","1,173",218,"1,691","1,591",297,"3,168","2,871",436,"2,659","2,225",300,30.0%,9.4%,12.3%,2.9%,"36,967","27,917","34,878","35,160","48,277","47,763",251
Arkansas,Logan,"1,589",277,609,641,62,"15,343",729,"1,318","6,706","3,515","1,199","1,267",609,"13,296","1,876","2,528","2,343",392,"2,487","2,253",335,"5,996","5,396",847,"4,332","3,304",302,31.2%,13.0%,12.1%,5.7%,"30,157","22,308","27,999","29,190","38,804","51,589",258
