State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,"FID"
Montana,Valley,"7,191",21.83,57.43,20.73,88.56,0.06,9.5,0.0,0.04,0.14,1.71,1.35,87.72,7.15,26.96,26.44,11.82,50.17,1.65,7.58,17.1,21.42,27.53,31.34,1296
Montana,Wheatland,"2,118",19.97,55.29,24.74,98.3,0.0,0.0,0.0,0.0,0.09,1.61,0.38,98.02,10.86,28.71,16.95,13.46,35.46,1.32,6.47,20.77,26.3,43.91,49.62,1298
Montana,Wibaux,872,22.02,55.16,22.82,98.97,1.03,0.0,0.0,0.0,0.0,0.0,0.8,98.17,9.17,26.26,27.52,12.5,53.56,0.23,2.98,17.2,20.3,28.33,31.54,1300
Montana,Yellowstone,"144,871",23.58,62.47,13.95,90.74,0.61,3.85,0.85,0.08,1.7,2.17,4.61,88.16,5.06,21.1,22.04,19.81,53.02,2.72,4.69,15.83,20.31,27.08,30.45,1302
Nebraska,Adams,"29,751",24.58,60.0,15.41,94.79,0.48,0.38,1.37,0.01,1.38,1.59,7.95,88.64,6.38,21.7,24.0,14.21,52.7,2.6,5.14,16.26,21.88,30.39,34.28,1303
Nebraska,Antelope,"6,553",23.7,56.04,20.27,98.84,0.02,0.08,0.11,0.0,0.0,0.96,2.62,96.35,5.48,28.16,25.47,11.2,50.6,1.45,4.38,19.52,25.09,34.78,39.86,1305
Nebraska,Arthur,490,31.02,53.27,15.71,99.39,0.0,0.0,0.0,0.0,0.0,0.61,0.0,99.39,2.86,13.67,30.82,17.76,49.39,1.22,1.02,15.31,19.8,30.2,37.35,1307
Nebraska,Banner,778,25.71,61.7,12.6,96.14,1.8,0.0,0.26,0.0,0.64,1.16,3.73,93.06,5.27,16.07,30.98,13.75,52.06,1.93,5.53,28.53,35.09,49.36,51.8,1308
Nebraska,Blaine,584,26.54,58.56,14.9,97.26,0.0,0.0,0.0,0.0,0.0,2.74,0.0,97.26,2.23,25.86,27.74,13.01,52.4,0.51,10.79,23.12,28.25,41.95,44.18,1309
Nebraska,Boone,"5,330",23.58,56.34,20.08,99.46,0.0,0.0,0.15,0.09,0.0,0.3,0.98,98.74,5.18,30.62,24.18,9.57,53.53,2.01,1.97,13.1,19.96,28.2,32.44,1310
