State,County,Population for whom poverty status is determined,Under 18 years (in poverty),18 to 64 years (in poverty),60 years and over (in poverty),65 years and over (in poverty),White alone (in poverty),Black or African American alone (in poverty),American Indian and Alaska Native alone (in poverty),Asian alone (in poverty),Native Hawaiian and Other Pacific Islander alone (in poverty),Some other race alone (in poverty),Two or more races (in poverty),Hispanic or Latino origin (in poverty),White alone (not Hispanic or Latino) (in poverty),Less than high school graduate (in poverty),High school graduate (in poverty),Some college or Associate's degree (in poverty),Bachelor's degree or higher (in poverty),Employed (in poverty),Unemployed (in poverty),Income below 50% poverty level,Income below 125% poverty level,Income below 150% poverty level,Income below 185% poverty level,Income below 200% poverty level,Income below 300% poverty level,Income below 400% poverty level,Income below 500% poverty level,"FID"
Alabama,Marion,"29,268",21.01,58.5,25.86,20.49,92.65,3.35,0.46,0.06,0.0,1.64,1.83,2.53,91.76,13.0,24.52,23.91,9.68,40.49,2.66,5.69,24.36,30.55,39.54,43.81,63.73,78.56,87.26,224
Alabama,Marshall,"94,762",24.84,58.31,22.95,16.85,90.33,2.85,0.39,0.64,0.04,1.98,3.77,14.23,80.45,11.13,20.71,21.31,13.94,42.0,1.59,8.01,23.75,28.72,35.63,39.33,57.36,72.64,82.19,231
Alabama,Mobile,"406,762",23.64,60.17,22.91,16.19,58.07,36.03,0.66,1.88,0.01,1.12,2.22,2.88,56.58,8.44,22.7,20.04,16.73,42.92,2.55,8.46,22.87,28.8,36.06,38.9,56.55,70.48,80.24,240
Alabama,Monroe,"20,718",21.77,58.52,27.95,19.7,54.21,42.59,1.38,0.6,0.06,0.11,1.05,0.36,53.96,11.46,32.15,16.68,9.55,32.62,5.1,12.96,28.62,36.12,43.45,45.28,60.56,73.1,83.81,250
Alabama,Montgomery,"218,646",23.66,61.17,21.16,15.18,34.77,57.81,0.22,3.12,0.0,1.32,2.76,3.48,33.3,8.3,16.42,19.68,23.1,45.2,3.08,8.49,24.27,29.73,35.13,37.58,55.02,67.87,77.64,256
Alabama,Morgan,"117,132",22.99,59.7,24.39,17.31,78.72,12.43,0.43,0.56,0.17,4.21,3.48,8.43,75.47,10.74,21.79,21.68,14.94,44.14,2.22,5.79,20.02,24.87,32.07,34.4,53.3,68.15,78.2,262
Alabama,Perry,"8,296",23.25,56.56,25.55,20.19,25.75,73.04,0.0,0.0,0.0,1.17,0.05,1.94,25.75,14.32,24.22,16.59,12.16,27.76,3.44,9.67,51.68,56.77,60.31,64.46,81.93,87.68,90.88,264
Alabama,Pickens,"18,380",21.15,58.53,27.67,20.32,56.49,41.87,0.01,0.0,0.0,0.4,1.24,1.28,55.73,11.47,27.22,20.96,10.36,37.29,3.45,8.35,31.02,37.57,43.68,46.2,63.84,74.62,85.58,273
Alabama,Pike,"31,488",19.79,64.37,22.05,15.84,57.91,37.33,0.32,1.94,0.01,0.13,2.36,2.37,55.95,7.6,20.23,14.82,18.07,43.63,2.24,13.77,28.63,33.05,40.44,42.62,58.07,69.72,80.82,279
Alabama,Randolph,"22,180",21.41,58.11,29.07,20.48,77.82,18.55,0.42,0.22,0.0,0.77,2.22,2.9,75.63,12.8,25.13,20.94,12.24,39.54,1.64,8.56,22.27,25.74,36.22,40.21,59.11,71.79,82.48,284
