State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Arizona,Graham,11348,1.83,6.2,19.92,32.24,26.03,8.66,5.11,11348,5.6,24.44,30.74,39.21,0
Arizona,Greenlee,3295,2.49,2.46,9.47,30.74,37.24,12.9,4.7,3295,2.34,22.58,38.24,36.84,1
Arizona,La Paz,9928,5.78,0.54,20.69,39.18,28.4,4.63,0.77,9928,6.53,44.9,32.14,16.43,3
Arizona,Maricopa,1596784,4.47,3.04,22.5,38.25,24.4,6.42,0.92,1596784,5.55,35.07,38.61,20.77,9
Arizona,Mohave,90413,3.47,1.65,28.77,45.16,18.28,2.11,0.56,90413,5.0,34.56,36.8,23.64,15
Arizona,Navajo,36406,0.99,1.78,23.88,37.86,27.46,4.85,3.18,36406,8.43,34.74,34.98,21.85,17
Arizona,Pima,410942,2.93,2.54,18.5,35.63,27.64,10.82,1.94,410942,7.6,37.43,36.55,18.42,21
Arizona,Pinal,148435,7.06,5.38,47.96,23.49,11.19,3.96,0.96,148435,4.23,34.72,38.31,22.74,26
Arizona,Santa Cruz,16049,1.03,2.09,20.53,38.69,28.46,5.65,3.55,16049,6.02,29.73,33.05,31.2,32
Arizona,Yavapai,101245,5.52,1.96,24.62,43.7,19.47,2.86,1.88,101245,4.06,32.85,39.16,23.93,35
Arizona,Yuma,74624,3.6,4.65,27.47,35.01,19.63,8.29,1.35,74624,5.15,35.9,36.16,22.8,42
Arkansas,Arkansas,7416,1.19,0.97,8.0,25.94,39.15,16.81,7.94,7416,8.09,34.05,38.48,19.38,46
Arkansas,Ashley,7716,3.64,1.27,6.27,25.17,38.31,17.04,8.29,7716,6.92,30.6,40.34,22.14,50
Arkansas,Baxter,18727,2.55,1.72,14.86,37.64,34.15,5.64,3.44,18727,4.62,34.57,39.71,21.1,54
Arkansas,Benton,99661,8.51,5.6,26.0,37.9,16.02,3.66,2.3,99661,2.87,28.37,42.75,26.01,59
Arkansas,Boone,15043,1.76,2.38,17.02,34.35,29.43,9.18,5.88,15043,4.97,29.92,36.84,28.27,62
Arkansas,Bradley,4233,3.05,1.54,10.91,26.46,35.58,13.06,9.4,4233,8.5,38.22,32.29,20.98,68
Arkansas,Calhoun,1754,2.17,2.79,12.49,23.2,36.49,17.39,5.47,1754,5.7,28.45,33.75,32.1,72
Arkansas,Carroll,11079,1.32,1.44,17.54,41.7,23.8,6.58,7.62,11079,5.86,27.3,33.15,33.69,74
Arkansas,Chicot,4052,1.11,3.06,9.53,28.41,42.2,10.66,5.03,4052,13.35,35.24,39.41,11.99,77
Arkansas,Clark,8336,4.31,3.68,13.09,37.51,26.6,9.4,5.41,8336,6.89,31.39,38.77,22.95,86
Arkansas,Clay,6476,0.74,3.03,6.64,23.64,40.44,17.53,7.98,6476,6.5,33.93,37.97,21.6,93
Arkansas,Cleburne,10882,3.54,4.55,14.04,39.85,29.79,5.95,2.28,10882,3.12,29.62,42.7,24.56,97
Arkansas,Cleveland,3170,2.46,3.63,10.57,35.49,36.21,9.59,2.05,3170,5.52,26.56,33.6,34.32,103
Arkansas,Columbia,8456,1.66,2.54,9.28,29.09,31.46,23.07,2.9,8456,4.22,37.07,34.76,23.95,107
Arkansas,Conway,8491,3.7,3.9,12.63,26.73,32.53,12.3,8.22,8491,8.27,32.76,31.85,27.12,109
Arkansas,Craighead,42203,7.81,7.05,16.49,33.47,25.65,6.71,2.82,42203,6.82,33.27,38.9,21.01,114
Arkansas,Crawford,24065,2.76,4.55,18.77,38.82,25.83,6.34,2.93,24065,4.06,31.99,38.6,25.35,115
Arkansas,Crittenden,19021,2.13,2.14,19.31,31.04,32.3,10.95,2.13,19021,10.57,39.95,31.64,17.84,119
Arkansas,Cross,6568,0.4,2.83,11.75,32.8,37.44,11.45,3.33,6568,6.64,35.06,36.74,21.56,124
Arkansas,Dallas,2992,1.7,2.11,13.07,27.81,36.73,9.12,9.46,2992,10.03,35.8,35.03,19.15,128
Arkansas,Desha,5059,1.17,0.57,13.03,21.62,45.03,13.13,5.46,5059,13.68,33.52,33.98,18.82,130
Arkansas,Drew,7207,2.69,5.47,13.03,32.65,30.53,9.84,5.8,7207,8.2,30.44,36.85,24.5,136
Arkansas,Faulkner,45091,5.82,8.14,24.49,39.19,16.55,4.41,1.4,45091,4.6,28.57,41.96,24.86,141
Arkansas,Franklin,6671,3.28,3.46,14.0,35.17,29.59,7.18,7.32,6671,5.76,34.34,34.75,25.15,144
Arkansas,Fulton,5014,0.94,3.03,15.44,33.17,33.05,8.95,5.42,5014,4.43,28.7,35.38,31.49,146
Arkansas,Garland,40906,2.39,3.53,16.37,29.33,30.22,11.48,6.69,40906,7.43,34.8,38.0,19.78,151
Arkansas,Grant,7049,4.94,4.43,15.63,43.51,21.75,6.34,3.4,7049,2.98,30.64,35.51,30.87,155
Arkansas,Greene,17587,5.53,5.43,17.66,31.69,25.97,9.79,3.95,17587,4.01,31.59,41.22,23.18,162
Arkansas,Hempstead,8100,2.0,3.32,8.15,30.72,36.52,13.41,5.89,8100,8.27,25.84,39.57,26.32,172
Arkansas,Hot Spring,12515,2.26,4.67,14.15,29.7,28.31,16.06,4.85,12515,5.81,31.91,36.09,26.18,184
Arkansas,Howard,5271,3.4,2.6,12.1,30.32,33.41,11.8,6.37,5271,3.66,35.57,34.85,25.92,191
Arkansas,Independence,14325,4.73,5.7,15.03,36.27,26.81,8.66,2.81,14325,4.6,28.15,40.34,26.92,200
Arkansas,Izard,4911,0.61,1.3,11.77,30.24,43.17,7.78,5.13,4911,6.52,30.32,30.73,32.44,203
Arkansas,Jackson,6241,3.69,2.69,7.16,22.1,44.61,15.37,4.39,6241,5.64,39.02,35.67,19.68,209
Arkansas,Jefferson,26630,1.79,2.66,11.76,26.96,37.96,14.13,4.74,26630,9.13,37.72,33.96,19.19,213
Arkansas,Johnson,9792,2.86,4.37,15.33,40.29,23.12,8.92,5.12,9792,5.23,29.37,40.43,24.97,218
Arkansas,Lafayette,2898,1.73,2.35,8.14,27.74,32.06,21.36,6.63,2898,9.14,33.16,33.75,23.95,222
Arkansas,Lawrence,6584,2.52,1.38,8.29,28.75,41.24,11.73,6.09,6584,5.5,28.87,43.94,21.69,230
Arkansas,Lee,3202,3.19,1.69,8.78,26.76,36.91,15.71,6.96,3202,21.14,33.1,27.76,17.99,237
Arkansas,Lincoln,3598,2.36,3.95,15.73,37.02,26.65,10.31,3.97,3598,4.86,32.63,36.05,26.46,244
Arkansas,Little River,5292,1.74,2.27,10.3,30.52,41.53,10.54,3.1,5292,6.92,25.68,40.48,26.93,251
Arkansas,Logan,8359,1.69,2.01,11.72,30.3,33.4,12.41,8.47,8359,4.9,29.97,37.79,27.34,258
Arkansas,Lonoke,27218,6.51,7.41,26.18,34.5,19.81,3.2,2.38,27218,4.39,28.64,39.68,27.29,268
