State,County,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Texas,Kaufman,"4,133","2,639","11,538","11,777","6,150","1,941","1,059","1,309","9,204","16,017","12,707",2314
Texas,Kendall,"1,420","1,494","4,573","4,554","1,668",705,375,342,"3,134","6,521","4,792",2319
Texas,Kenedy,0,0,25,0,0,84,20,0,80,38,11,2330
Texas,Kent,4,18,19,49,135,51,10,16,106,83,81,2335
Texas,Kerr,892,902,"3,471","8,364","4,784","2,105",760,687,"7,089","8,900","4,602",2337
Texas,Kimble,11,58,269,509,449,431,240,95,586,695,591,2339
Texas,King,2,14,13,14,15,26,6,0,19,44,27,2342
Texas,Kinney,14,0,107,588,530,82,154,96,621,393,365,2347
Texas,Kleberg,782,347,"1,401","2,046","4,070","2,255",239,856,"4,544","3,742","1,998",2358
Texas,Knox,17,9,45,213,457,430,223,31,518,544,301,2364
Texas,Lamar,348,857,"2,629","6,814","6,141","2,353",853,"1,444","6,867","7,530","4,154",2371
Texas,Lamb,21,88,221,985,"1,469","1,535",387,280,"1,321","1,815","1,290",2376
Texas,Lampasas,417,427,"1,753","2,302","1,736",771,417,424,"2,006","3,231","2,162",2381
Texas,La Salle,4,98,201,589,677,314,259,80,688,874,500,2388
Texas,Lavaca,315,290,"1,002","1,893","2,090","1,498",816,393,"2,163","3,300","2,048",2392
Texas,Lee,286,292,"1,137","2,273","1,408",474,289,179,"1,461","2,361","2,158",2398
Texas,Leon,450,233,"1,377","2,709","1,443",313,312,207,"1,913","2,919","1,798",2402
Texas,Liberty,"1,742","1,214","5,297","9,333","7,019","1,890",922,"1,531","8,332","11,107","6,447",2404
Texas,Limestone,202,331,"1,206","2,701","2,105",946,801,343,"2,625","3,122","2,202",2408
Texas,Lipscomb,8,16,128,247,422,229,108,38,271,440,409,2412
Texas,Live Oak,100,188,390,"1,113","1,553",372,138,147,"1,357","1,644",706,2416
Texas,Llano,304,436,"1,977","3,212","2,313",525,264,370,"2,810","3,635","2,216",2421
Texas,Loving,0,0,0,2,18,4,38,0,43,19,0,2424
Texas,Lubbock,"7,357","5,332","17,184","31,069","34,301","18,174","3,118","6,464","40,589","46,498","22,984",2428
Texas,Lynn,53,82,114,300,960,479,211,147,663,863,526,2438
Texas,McCulloch,42,92,273,756,927,624,437,187,"1,107","1,142",715,2452
Texas,McLennan,"4,801","3,535","11,524","24,529","25,702","17,009","4,322","5,510","30,404","35,110","20,398",2477
Texas,McMullen,46,18,37,38,26,28,36,6,58,81,84,2494
Texas,Madison,208,142,669,"1,343","1,171",472,200,270,"1,220","1,288","1,427",2526
Texas,Marion,77,77,459,"1,438","1,809",442,233,256,"1,836","1,589",854,2547
Texas,Martin,75,75,252,284,672,264,100,0,426,744,552,2564
Texas,Mason,8,21,264,283,519,210,363,79,510,637,442,2570
Texas,Matagorda,241,350,"1,550","4,618","4,890","1,608",643,881,"4,639","5,495","2,885",2637
Texas,Maverick,"1,419",888,"3,415","5,874","3,542","1,016",493,"1,109","5,101","5,983","4,454",2649
Texas,Medina,"1,004",877,"3,167","5,260","3,545","1,310",815,787,"4,007","5,842","5,342",2652
Texas,Menard,43,39,13,225,328,210,177,82,363,361,229,2655
Texas,Midland,"6,076","4,130","6,512","18,552","11,653","10,289",705,"2,008","18,106","22,070","15,733",2657
Texas,Milam,349,314,"1,234","2,564","2,780","1,523",704,310,"2,841","3,734","2,583",2659
Texas,Mills,67,28,260,403,520,264,210,28,508,660,556,2663
Texas,Mitchell,26,71,55,559,445,704,559,57,993,745,624,2666
Texas,Montague,356,334,"1,292","1,587","2,329","1,334",737,312,"1,918","3,640","2,099",2669
Texas,Montgomery,"27,396","16,946","62,295","66,768","28,300","3,063",951,"6,963","53,090","94,105","51,561",2682
Texas,Moore,190,165,631,"1,787","2,277","1,510",99,512,"1,924","2,389","1,834",2683
Texas,Morris,25,140,325,"1,402","1,919","1,065",294,327,"1,533","1,923","1,387",2688
Texas,Motley,6,3,16,50,112,136,173,20,128,182,166,2692
Texas,Nacogdoches,651,947,"3,675","8,904","6,154","2,547",887,"1,569","7,749","9,372","5,075",2701
Texas,Navarro,391,577,"3,090","5,105","4,992","2,131","1,223",759,"5,176","6,742","4,832",2706
Texas,Newton,404,325,910,"1,788","1,071",483,143,372,"1,504","1,989","1,259",2711
Texas,Nolan,52,95,195,"1,032","1,893","1,727",522,395,"2,081","1,746","1,294",2714
Texas,Nueces,"6,458","4,812","15,466","36,929","34,460","28,573","3,784","9,050","46,763","48,664","26,005",2194
Texas,Ochiltree,105,15,184,830,"1,425",580,252,88,972,"1,404",927,2204
Texas,Oldham,6,10,79,98,236,170,47,19,126,256,245,2210
Texas,Orange,"2,002","1,648","4,368","8,495","9,304","4,957",796,"1,653","9,825","12,589","7,503",2214
Texas,Palo Pinto,179,296,"1,254","2,316","3,411","1,887",991,444,"3,469","3,642","2,779",2220
Texas,Panola,384,660,"1,415","2,522","2,435","1,049",197,401,"3,164","3,416","1,681",2227
Texas,Parker,"4,464","2,453","12,778","14,832","7,215","2,826","1,280","1,173","9,591","20,732","14,352",2229
Texas,Parmer,33,19,290,528,"1,479",749,115,75,830,"1,080","1,228",2235
Texas,Pecos,166,55,327,"1,322","1,426","1,332",240,467,"1,471","1,539","1,391",2239
Texas,Polk,603,575,"3,692","5,729","5,334","1,495",517,802,"5,997","7,291","3,855",2243
Texas,Potter,794,936,"3,061","6,745","11,334","17,073","4,014","3,709","15,798","15,858","8,592",2247
Texas,Presidio,20,13,235,"1,041",449,310,512,250,"1,107",832,391,2261
Texas,Rains,302,142,857,"1,428","1,086",321,185,167,"1,227","1,711","1,216",2268
Texas,Randall,"3,365","2,836","7,964","12,072","16,654","5,788","1,413","1,506","15,598","20,919","12,069",2274
Texas,Reagan,143,29,27,357,308,249,4,20,356,427,314,2280
Texas,Real,65,112,120,369,315,113,160,70,372,552,260,2283
Texas,Red River,110,197,427,"1,510","1,688",855,356,321,"1,694","1,720","1,408",2295
Texas,Reeves,332,107,148,326,"1,384","1,300",175,256,"1,000","1,375","1,141",2308
Texas,Refugio,74,69,225,556,906,603,133,235,924,868,539,2334
Texas,Roberts,14,1,45,49,75,57,88,27,46,116,140,2348
Texas,Robertson,152,156,849,"2,080","1,817","1,280",415,599,"2,146","2,239","1,765",2353
Texas,Rockwall,"4,487","2,435","13,336","10,888","2,704",442,165,605,"5,757","16,035","12,060",2355
Texas,Runnels,58,15,199,724,"1,039","1,141",715,121,"1,158","1,708",904,2361
Texas,Rusk,559,525,"2,351","5,009","4,869","3,355","1,388",712,"5,180","7,339","4,825",2367
Texas,Sabine,162,142,461,"1,893","1,295",420,151,208,"1,388","1,871","1,057",2370
Texas,San Augustine,88,116,473,"1,361",965,396,313,316,"1,377","1,405",614,2380
Texas,San Jacinto,812,315,"2,616","3,345","2,401",505,149,272,"2,988","4,235","2,648",2387
Texas,San Patricio,"1,431",593,"3,495","5,386","8,330","3,349",838,"1,474","7,959","9,106","4,883",2415
Texas,San Saba,6,31,313,551,465,483,285,94,572,926,542,2435
Texas,Schleicher,0,21,58,338,258,288,73,18,307,483,228,2437
Texas,Scurry,116,132,207,"1,403","2,111","1,904",242,325,"2,294","2,238","1,258",2443
Texas,Shackelford,54,9,232,262,285,334,191,76,338,626,327,2445
Texas,Shelby,248,426,"1,706","3,026","2,480",931,669,703,"2,860","3,795","2,128",2448
Texas,Sherman,3,0,48,170,373,308,168,19,262,481,308,2453
Texas,Smith,"3,834","3,464","13,572","23,584","20,480","10,100","2,775","2,978","23,626","33,116","18,089",2465
Texas,Somervell,180,60,817,"1,010",754,195,129,90,712,"1,279","1,064",2470
Texas,Starr,525,"1,275","3,389","6,804","3,299",858,131,"1,770","5,563","5,437","3,511",2474
Texas,Stephens,0,22,250,871,"1,173",828,264,362,897,"1,159",990,2480
Texas,Sterling,0,21,5,160,149,40,30,4,128,112,161,2481
Texas,Stonewall,0,0,13,68,252,129,67,18,124,200,187,2486
Texas,Sutton,33,0,84,380,461,188,136,40,420,528,294,2490
Texas,Swisher,9,0,94,362,"1,112",811,211,222,937,840,600,2495
Texas,Tarrant,"36,866","29,598","145,669","248,669","157,717","82,940","20,987","31,309","222,648","303,019","165,470",2500
Texas,Taylor,"2,385","1,453","5,111","12,824","12,117","13,317","3,189","2,705","17,012","21,324","9,355",2508
Texas,Terrell,0,0,0,19,93,147,160,0,105,208,106,2518
Texas,Terry,57,37,104,977,"1,453","1,392",81,258,"1,285","1,846",712,2522
Texas,Throckmorton,6,26,49,124,241,150,117,24,273,276,140,2525
Texas,Titus,228,520,"1,932","3,962","3,087","1,026",309,407,"3,174","4,458","3,025",2531
Texas,Tom Green,"1,707","1,336","4,254","11,481","13,376","8,361","2,438","2,359","14,788","16,349","9,457",2536
Texas,Travis,"47,485","34,017","98,656","171,259","100,041","29,266","10,807","26,719","179,675","199,477","85,660",2543
Texas,Trinity,190,81,893,"2,340","1,814",503,284,461,"2,042","2,577","1,025",2553
Texas,Tyler,203,282,"1,072","2,270","2,280",704,298,517,"2,379","2,710","1,503",2560
Texas,Upshur,655,853,"2,415","4,989","3,369","1,705",406,590,"4,483","5,620","3,699",2566
Texas,Upton,77,29,52,349,225,528,84,99,296,472,477,2572
Texas,Uvalde,104,463,"1,254","3,135","2,513","1,211",241,736,"3,147","3,417","1,621",2576
Texas,Val Verde,383,791,"2,638","4,636","5,397","1,864",679,"1,091","5,138","5,917","4,242",2582
Texas,Van Zandt,"1,022",491,"4,089","6,771","5,811","1,621",689,570,"5,604","7,709","6,611",2586
Texas,Victoria,"2,244","1,057","3,071","8,937","9,988","5,866","1,357","1,987","10,684","13,159","6,690",2595
Texas,Walker,"1,595","1,055","4,029","8,847","5,666",966,357,"1,430","7,793","9,151","4,141",2603
Texas,Waller,"1,562","1,257","3,079","5,534","3,071",796,287,462,"4,060","6,607","4,457",2606
Texas,Ward,122,96,166,976,"1,529","1,078",133,143,"1,263","1,422","1,272",2610
Texas,Washington,769,576,"2,377","4,071","3,432","1,241",855,695,"4,222","4,723","3,681",2613
Texas,Webb,"4,634","3,873","19,239","28,450","12,186","5,975","2,025","4,588","25,034","27,346","19,414",2616
Texas,Wharton,672,596,"1,588","3,860","3,870","3,473","1,189","1,179","4,669","5,662","3,738",2618
Texas,Wheeler,92,48,186,325,479,536,394,107,457,947,549,2623
Texas,Wichita,724,941,"4,739","10,744","16,466","10,722","4,202","3,227","17,867","18,300","9,144",2632
Texas,Wilbarger,5,49,340,902,"1,548","1,435",729,289,"1,974","1,948",797,2634
Texas,Willacy,418,172,697,"1,635","1,502","1,300",158,260,"2,224","2,205","1,193",2639
Texas,Williamson,"27,387","17,202","58,141","63,518","15,804","3,423","2,638","4,263","54,740","88,103","41,007",2640
Texas,Wilson,"1,393","1,033","4,212","5,879","2,170",728,560,392,"3,202","5,962","6,419",2641
Texas,Winkler,87,8,12,421,"1,098",971,21,129,702,941,846,2642
Texas,Wise,"1,198",885,"5,183","8,295","4,019","1,993",681,576,"4,502","9,287","7,889",2643
Texas,Wood,724,617,"3,735","6,018","3,690","1,473",459,865,"5,037","6,777","4,037",2644
Texas,Yoakum,101,87,187,833,823,503,67,62,852,894,793,2645
Texas,Young,63,410,748,"1,574","2,100","2,159",437,354,"2,402","3,174","1,561",2646
Texas,Zapata,82,118,629,"2,573",877,372,38,456,"1,728","1,545",960,2650
Texas,Zavala,45,40,477,"1,119","1,128",652,213,188,"1,179","1,310",997,2651
Utah,Beaver,26,13,311,627,496,429,311,46,440,713,"1,014",2653
Utah,Box Elder,667,701,"3,333","4,164","4,449","2,158","2,339",843,"3,469","6,141","7,358",2658
Utah,Cache,"1,967","2,092","7,643","11,168","9,331","3,031","4,349","1,510","8,590","16,310","13,171",2661
Utah,Carbon,235,144,488,"1,904","2,047","1,815","1,169",386,"1,960","3,230","2,226",2665
Utah,Daggett,0,20,22,48,72,7,0,11,22,81,55,2668
Utah,Davis,"6,474","5,901","23,963","33,887","24,828","9,531","2,520","2,589","20,751","47,193","36,571",2671
Utah,Duchesne,122,346,"1,689","2,043","1,783",672,383,289,"1,574","2,684","2,491",2672
Utah,Emery,49,65,343,"1,072","1,400",295,508,119,663,"1,235","1,715",2673
Utah,Garfield,39,40,339,587,395,258,193,37,397,718,699,2674
Utah,Grand,88,201,878,"1,221","1,446",473,135,186,"1,303","1,476","1,477",2675
Utah,Iron,896,631,"4,358","6,419","3,358","1,195",524,490,"4,128","7,393","5,370",2676
Utah,Juab,114,133,712,825,647,411,636,132,543,"1,107","1,696",2677
Utah,Kane,148,34,687,985,704,175,114,123,821,"1,001",902,2678
Utah,Millard,99,69,321,"1,367",970,601,866,153,707,"1,388","2,045",2680
Utah,Morgan,274,343,954,726,608,189,340,34,373,"1,191","1,836",2681
Utah,Piute,0,4,109,102,127,120,128,32,143,201,214,2685
Utah,Rich,4,3,136,123,127,77,171,0,124,234,283,2687
Utah,Salt Lake,"23,937","17,373","55,267","105,536","105,571","46,629","29,011","20,545","105,626","152,254","104,899",2690
Utah,San Juan,61,233,527,"1,790","1,329",508,129,323,"1,521","1,401","1,332",2694
Utah,Sanpete,194,332,"1,638","2,308","1,832",803,"1,780",191,"1,332","3,695","3,669",2697
Utah,Sevier,299,253,947,"1,954","1,930",767,"1,337",149,"1,768","2,501","3,069",2702
Utah,Summit,492,435,"2,951","6,886","2,657",472,581,246,"3,343","6,236","4,649",2703
Utah,Tooele,"1,534","1,260","5,637","6,072","3,482","2,045","1,117",755,"3,639","8,319","8,434",2707
Utah,Uintah,566,855,"2,557","2,927","2,656",770,408,312,"2,740","4,221","3,466",2539
Utah,Utah,"18,839","9,865","43,263","48,008","31,270","13,854","6,800","4,368","34,112","73,274","60,145",2555
Utah,Wasatch,"1,428",939,"3,409","2,265","1,164",392,908,208,"1,722","4,615","3,960",2567
Utah,Washington,"5,741","4,240","17,737","23,956","6,073","1,317",635,"2,050","16,492","24,304","16,853",2577
Utah,Wayne,16,5,249,347,180,82,116,22,124,443,406,2580
Utah,Weber,"3,693","2,864","14,251","22,964","19,436","13,514","8,483","3,667","21,125","32,905","27,508",2587
Vermont,Addison,358,441,"1,748","4,096","3,161","1,035","3,861",730,"4,596","6,324","3,050",2590
Vermont,Bennington,216,137,"1,184","2,984","3,662","1,953","4,449","1,343","4,808","5,749","2,685",2591
Vermont,Caledonia,212,340,"1,503","2,575","2,941",970,"4,077","1,084","4,283","4,948","2,303",2596
Vermont,Chittenden,"2,577","2,434","8,121","20,003","15,608","6,132","11,603","4,802","23,837","27,263","10,576",2599
Vermont,Essex,26,61,378,702,532,233,950,130,"1,039","1,071",642,2604
Vermont,Franklin,686,781,"2,519","5,050","3,548","1,420","5,041","1,070","5,442","8,605","3,928",2607
Vermont,Grand Isle,76,92,498,"1,035",620,141,514,65,774,"1,283",854,2609
Vermont,Lamoille,237,247,"1,424","3,489","2,502",555,"2,316",632,"3,550","4,586","2,002",2611
Vermont,Orange,242,175,"1,559","3,450","2,989",722,"3,533",514,"4,052","5,129","2,975",2612
Vermont,Orleans,132,294,"1,686","3,028","2,675",993,"2,870",771,"3,868","4,732","2,307",2614
Vermont,Rutland,173,274,"1,850","5,068","6,669","2,546","8,769","1,922","8,642","10,604","4,181",2615
Vermont,Washington,443,523,"2,222","5,711","6,284","2,120","8,007","2,033","9,303","9,904","4,070",2617
Vermont,Windham,217,182,"1,695","4,247","4,827","1,798","6,196","1,291","7,804","6,922","3,145",2620
Vermont,Windsor,263,324,"2,360","6,219","5,969","3,069","6,425","1,253","8,891","9,887","4,598",2625
Virginia,Accomack,275,400,"1,458","3,975","3,314","1,665","2,554","1,239","4,245","4,901","3,256",2719
Virginia,Albemarle,"2,227","2,212","7,027","16,920","9,889","2,030","2,076","1,923","12,562","17,371","10,525",2728
Virginia,Alleghany,32,35,478,"1,552","2,076","1,249","1,107",502,"2,149","1,625","2,253",2733
Virginia,Amelia,312,149,"1,041","1,750","1,047",353,382,165,"1,049","1,362","2,458",2741
Virginia,Amherst,177,169,"1,327","3,859","3,743","1,792","1,094",615,"2,894","4,217","4,435",2746
Virginia,Appomattox,203,510,"1,290","1,399","1,624",738,394,248,"1,492","2,143","2,275",2749
Virginia,Arlington,"4,543","4,849","15,622","22,683","21,600","30,139","9,168","15,048","51,531","32,264","9,761",2753
Virginia,Augusta,968,"1,168","5,135","10,763","5,864","2,993","3,274","1,205","6,959","10,175","11,826",2758
Virginia,Bath,14,0,220,414,569,336,278,52,405,733,641,2763
Virginia,Bedford County,"1,406",824,"5,289","12,584","7,071","2,489","1,761",864,"7,176","11,907","11,477",2769
Virginia,Bland,8,91,384,939,483,226,195,78,787,697,764,2772
Virginia,Botetourt,280,386,"2,594","4,102","3,340","1,377","1,092",405,"2,880","4,872","5,014",2776
Virginia,Brunswick,133,204,"1,158","1,665","1,436",965,577,440,"1,928","2,072","1,698",2777
Virginia,Buchanan,75,143,925,"2,620","2,759","1,355",393,513,"2,451","3,134","2,172",2784
Virginia,Buckingham,198,371,"1,258","2,336",989,356,440,352,"1,388","1,865","2,343",2785
Virginia,Campbell,469,754,"3,471","6,906","7,861","2,213","1,483","1,175","6,474","8,088","7,420",2788
Virginia,Caroline,277,395,"3,272","3,303","2,286","1,044",401,484,"2,185","3,875","4,434",2793
Virginia,Carroll,298,200,"1,452","3,774","3,854","1,873",683,557,"3,336","4,323","3,918",2797
Virginia,Charles City,187,40,455,"1,111",797,264,144,178,622,946,"1,252",2806
Virginia,Charlotte,52,101,538,"1,548","1,253",654,690,447,"1,350","1,616","1,423",2810
Virginia,Chesterfield,"7,024","4,800","24,987","50,969","31,331","6,319","1,800","3,380","32,645","52,372","38,833",2816
Virginia,Clarke,58,58,996,"1,694","1,298",631,955,201,"1,249","2,059","2,181",2819
Virginia,Craig,54,60,282,791,383,226,423,148,579,470,"1,022",2820
Virginia,Culpeper,842,509,"4,972","5,284","3,704",997,"1,166",567,"3,959","6,374","6,574",2824
Virginia,Cumberland,81,47,704,"1,578","1,095",319,288,272,813,"1,634","1,393",2827
Virginia,Dickenson,36,262,717,"1,908","1,483",864,457,586,"1,930","1,813","1,398",2832
Virginia,Dinwiddie,205,168,"1,828","3,895","2,706",971,630,305,"2,156","3,401","4,541",2838
Virginia,Essex,38,104,"1,009","1,643","1,000",441,316,213,"1,607","1,279","1,452",2842
Virginia,Fairfax County,"9,007","8,499","42,748","156,991","135,929","42,014","3,465","17,479","119,618","170,243","91,313",2849
Virginia,Fauquier,742,612,"5,145","9,200","4,908","1,855","2,155",768,"4,698","9,534","9,617",2853
Virginia,Floyd,293,262,959,"2,238","1,393",863,649,410,"1,460","2,071","2,716",2856
Virginia,Fluvanna,252,234,"2,512","4,449","1,429",455,636,192,"2,657","4,232","2,886",2858
Virginia,Franklin County,515,423,"3,879","8,631","5,696","2,165","1,421","1,194","4,948","8,459","8,129",2862
Virginia,Frederick,"2,033","1,141","7,784","12,441","5,571","1,607","1,517","1,283","7,991","12,278","10,542",2868
Virginia,Giles,110,232,655,"1,692","1,688","1,621",717,428,"1,608","2,627","2,052",2873
Virginia,Gloucester,558,460,"2,608","6,134","3,163","1,149",720,362,"3,065","5,959","5,406",2887
Virginia,Goochland,888,370,"2,205","2,977","1,522",392,357,197,"1,793","3,295","3,426",2892
Virginia,Grayson,204,205,675,"1,675","1,660","1,020",949,306,"1,713","2,530","1,839",2896
Virginia,Greene,261,507,"1,383","3,387","1,372",282,299,189,"1,961","2,571","2,770",2899
Virginia,Greensville,45,105,453,896,"1,379",307,256,340,"1,127",807,"1,167",2902
Virginia,Halifax,278,272,"1,577","4,266","4,016","2,435","1,311","1,083","3,855","4,480","4,737",2904
Virginia,Hanover,"2,182","1,600","6,373","15,811","9,351","2,749","1,160","1,124","7,813","14,673","15,616",2909
Virginia,Henrico,"3,441","3,479","19,021","46,710","32,095","21,671","4,017","7,868","43,378","48,241","30,947",2915
Virginia,Henry,91,148,"1,738","5,937","7,999","4,038","1,061","1,325","7,126","6,332","6,229",2918
Virginia,Highland,0,0,122,289,206,91,279,39,210,445,293,2920
Virginia,Isle of Wight,724,438,"2,902","5,653","2,917","1,173",804,579,"3,347","5,334","5,351",2925
Virginia,James City,"1,706","1,610","7,861","13,376","4,234",544,350,"1,028","8,471","13,247","6,935",2930
Virginia,King and Queen,110,80,687,"1,016",390,271,262,103,574,950,"1,189",2936
Virginia,King George,390,573,"3,220","2,811","1,564",604,225,219,"1,869","3,388","3,911",2938
Virginia,King William,443,257,"1,711","2,223","1,160",268,331,210,"1,144","2,118","2,921",2943
Virginia,Lancaster,15,166,826,"1,550","1,584",650,496,296,"1,583","1,754","1,654",2948
Virginia,Lee,89,174,977,"3,024","2,420","1,473",686,969,"2,633","2,893","2,348",2950
Virginia,Loudoun,"12,634","12,024","40,715","46,473","13,928","3,263","3,528","3,584","28,290","63,217","37,474",2952
Virginia,Louisa,927,623,"3,502","5,554","2,056",869,852,728,"2,827","5,214","5,614",2953
Virginia,Lunenburg,65,37,611,"1,262","1,274",820,403,305,"1,147","1,440","1,580",2954
Virginia,Madison,140,68,951,"1,504","1,042",595,798,81,"1,229","1,830","1,958",2955
Virginia,Mathews,0,73,455,"1,473",644,472,764,42,868,"1,558","1,413",2962
Virginia,Mecklenburg,236,216,"1,977","3,243","3,545","2,114","1,040","1,013","3,358","4,648","3,352",2964
Virginia,Middlesex,52,102,932,"1,760",929,504,485,185,"1,403","1,934","1,242",2965
Virginia,Montgomery,"1,636","1,499","6,079","11,791","9,647","3,122","1,614","1,843","10,340","13,599","9,606",2966
Virginia,Nelson,106,75,"1,433","2,327","1,151",532,774,374,"1,462","2,174","2,388",2968
Virginia,New Kent,708,781,"1,864","2,508","1,186",662,408,134,"1,358","2,755","3,870",2971
Virginia,Northampton,32,71,"1,184","1,350",850,750,914,476,"1,628","1,792","1,255",2982
Virginia,Northumberland,170,140,"1,436","2,109",941,434,456,264,"1,670","2,047","1,705",2983
Virginia,Nottoway,62,239,713,"1,327","1,543",686,998,429,"1,457","1,746","1,936",2984
Virginia,Orange,724,504,"3,761","4,092","2,824",969,"1,052",468,"3,714","4,871","4,873",2985
Virginia,Page,83,132,"1,137","2,345","2,471","1,350","1,895",596,"2,176","3,352","3,289",2986
Virginia,Patrick,55,324,789,"3,009","2,137",979,537,339,"2,029","2,713","2,749",2987
Virginia,Pittsylvania,435,706,"3,215","9,654","7,564","2,994","1,637","1,491","6,560","8,803","9,351",2988
Virginia,Powhatan,489,392,"2,597","4,467","1,946",195,306,109,"1,437","4,129","4,717",2989
Virginia,Prince Edward,105,233,"1,505","2,206","1,749",802,794,735,"2,174","2,759","1,726",2990
Virginia,Prince George,429,739,"2,493","4,653","2,566",542,341,437,"2,321","3,952","5,053",2991
Virginia,Prince William,"6,736","7,023","38,752","54,024","31,061","5,114","1,449","3,362","34,453","61,926","44,418",2992
Virginia,Pulaski,250,198,"1,491","3,086","5,213","2,889","1,539",820,"4,430","5,520","3,896",2993
Virginia,Rappahannock,35,45,482,820,579,278,588,76,515,"1,050","1,186",2994
Virginia,Richmond County,121,110,349,831,749,626,153,174,611,"1,006","1,148",2995
Virginia,Roanoke County,637,"1,054","4,132","10,886","14,873","5,488","1,164","1,525","11,391","14,348","10,970",2996
Virginia,Rockbridge,102,258,"1,628","2,851","2,435","1,072",955,313,"2,434","3,432","3,122",2997
Virginia,Rockingham,"1,286","1,119","5,113","8,768","7,867","3,391","3,762","1,477","7,413","11,025","11,391",2998
Virginia,Russell,91,277,"1,067","3,847","3,617","1,403",673,782,"2,955","3,831","3,407",2999
Virginia,Scott,182,154,"1,026","2,614","2,290","1,624",820,710,"2,271","3,128","2,601",2585
Virginia,Shenandoah,314,308,"3,252","4,849","4,132","1,557","3,129",782,"4,698","6,402","5,659",2594
Virginia,Smyth,204,239,799,"3,710","4,104","2,318","1,320","1,026","4,213","4,252","3,203",2600
Virginia,Southampton,171,79,"1,186","1,833","1,502","1,113",734,399,"1,482","2,329","2,408",2608
Virginia,Spotsylvania,"2,603","1,626","11,985","21,166","5,781","1,495",807,"1,375","10,360","17,798","15,930",2619
Virginia,Stafford,"3,211","3,164","11,526","20,268","7,423","1,806",762,"1,003","9,381","19,447","18,329",2629
Virginia,Surry,41,119,613,870,585,331,235,203,852,727,"1,012",2636
Virginia,Sussex,47,132,466,"1,110","1,066",600,371,349,968,"1,314","1,161",2647
Virginia,Tazewell,93,354,"1,404","4,038","5,146","3,308","2,028","1,187","5,169","5,781","4,234",2656
Virginia,Warren,339,366,"2,438","4,921","3,371","1,882","1,324",715,"3,428","5,097","5,401",2662
Virginia,Washington,447,580,"3,284","7,458","6,361","2,363","1,611",992,"6,375","8,724","6,013",2667
Virginia,Westmoreland,333,412,"1,457","2,243","1,877","1,037",551,392,"2,348","2,974","2,196",2684
Virginia,Wise,244,443,"1,779","4,601","4,013","2,341","1,495","1,229","5,296","5,143","3,248",2695
Virginia,Wythe,300,163,"2,225","3,338","2,988","1,756","1,623",761,"3,475","4,099","4,058",2699
Virginia,York,932,"1,455","4,452","11,437","5,256","1,718",267,757,"5,400","10,784","8,576",2709
Virginia,Alexandria,"3,014","1,576","7,505","15,124","22,754","15,174","6,142","7,416","36,348","23,053","4,472",2712
Virginia,Bristol,9,83,666,"1,172","2,845","1,700","1,007",755,"3,000","2,478","1,249",2716
Virginia,Buena Vista,0,68,241,622,751,501,326,163,793,949,604,2720
Virginia,Charlottesville,"1,110",780,"1,905","3,433","4,833","4,100","2,653","2,096","7,421","6,580","2,717",2722
Virginia,Chesapeake,"5,463","4,209","11,409","36,748","19,995","7,040","1,660","3,671","22,078","36,480","24,295",2724
Virginia,Colonial Heights,68,15,557,"1,484","2,886","1,654",430,469,"2,141","2,877","1,607",2727
Virginia,Covington,0,0,83,256,471,865,707,182,885,816,499,2729
Virginia,Danville,15,181,543,"2,967","6,388","5,353","2,819","2,779","7,442","4,912","3,133",2732
Virginia,Emporia,0,31,168,495,757,463,162,396,743,590,347,2736
Virginia,Fairfax City,304,296,674,"1,732","2,967","2,695",83,521,"2,431","3,447","2,352",2737
Virginia,Falls Church,401,306,758,442,"1,735","1,640",349,352,"2,149","2,253",877,2740
Virginia,Franklin City,0,146,210,682,"1,235",914,329,326,"1,218","1,108",864,2744
Virginia,Fredericksburg,556,"1,138","2,018","2,203","2,512","1,101","1,531",905,"4,431","4,179","1,544",2745
Virginia,Galax,18,24,212,537,"1,129",430,264,325,812,"1,111",366,2747
Virginia,Hampton,"1,384","1,474","4,029","16,509","17,945","10,050","3,456","4,591","20,631","18,362","11,263",2751
Virginia,Harrisonburg,416,863,"2,818","6,012","3,708","1,753","1,181","1,267","5,757","6,394","3,333",2755
Virginia,Hopewell,170,273,728,"1,329","4,042","1,971",849,836,"3,428","3,027","2,071",2756
Virginia,Lexington,0,0,36,273,590,328,839,231,736,644,455,2760
Virginia,Lynchburg,309,680,"3,510","5,115","8,550","5,786","4,273","3,124","10,154","10,272","4,673",2762
Virginia,Manassas,306,452,"1,171","6,152","4,034",589,362,553,"4,010","4,836","3,667",2765
Virginia,Manassas Park,182,172,"1,471","1,316",443,952,60,139,"1,350","1,889","1,218",2768
Virginia,Martinsville,0,0,273,913,"1,921","2,099",391,835,"2,391","1,544",827,2771
Virginia,Newport News,"2,048","1,994","7,163","22,848","23,336","9,977","3,010","7,296","25,898","24,272","12,910",2775
Virginia,Norfolk,"2,776","1,847","6,558","15,564","21,685","27,256","13,712","11,093","34,208","30,053","14,044",2778
Virginia,Norton,0,20,115,580,526,428,208,167,860,592,258,2780
