State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Colorado,Delta,2010,115,111,4,0,0,0,0,86,32,19,0,0,0,0,115,617
Colorado,Denver,2010,365,209,153,3,0,0,0,108,74,49,0,145,156,58,6,628
Colorado,Douglas,2010,354,237,104,13,0,0,0,136,80,45,0,0,338,16,0,644
Colorado,El Paso,2010,365,260,101,3,1,0,0,151,74,45,0,0,353,11,1,661
Colorado,Elbert,2010,59,58,1,0,0,0,0,54,29,17,0,0,0,59,0,655
Colorado,Fremont,2010,54,54,0,0,0,0,0,29,22,14,0,0,0,0,54,664
Colorado,Garfield,2010,365,167,188,10,0,0,0,150,84,51,0,0,364,0,1,667
Colorado,Gunnison,2010,365,308,55,2,0,0,0,129,57,42,0,0,299,0,66,682
Colorado,Jackson,2010,111,111,0,0,0,0,0,35,12,7,0,0,0,111,0,701
Colorado,Jefferson,2010,365,233,106,26,0,0,0,143,93,46,0,0,365,0,0,706
Colorado,La Plata,2010,365,222,133,9,1,0,0,183,80,48,0,8,352,1,4,727
Colorado,Larimer,2010,365,170,174,21,0,0,0,140,90,51,0,0,357,8,0,734
Colorado,Mesa,2010,365,227,132,6,0,0,0,120,74,47,2,0,310,31,22,751
Colorado,Montezuma,2010,365,271,93,1,0,0,0,122,64,46,0,0,356,9,0,766
Colorado,Park,2010,191,93,93,5,0,0,0,133,84,51,0,0,191,0,0,782
Colorado,Pitkin,2010,362,214,142,5,1,0,0,164,77,49,0,0,360,0,2,789
Colorado,Prowers,2010,365,341,24,0,0,0,0,91,44,24,0,0,0,0,365,792
Colorado,Pueblo,2010,142,134,8,0,0,0,0,66,39,24,0,0,0,111,31,795
Colorado,Rio Blanco,2010,351,267,82,2,0,0,0,108,61,45,0,2,336,13,0,799
Colorado,Routt,2010,351,331,20,0,0,0,0,73,37,16,0,0,0,0,351,809
Colorado,San Juan,2010,119,117,2,0,0,0,0,84,17,8,0,0,0,119,0,347
Colorado,San Miguel,2010,147,129,17,0,1,0,0,200,54,19,0,0,47,0,100,359
Colorado,Summit,2010,312,311,1,0,0,0,0,63,25,12,0,0,0,0,312,373
Colorado,Teller,2010,130,63,65,2,0,0,0,105,84,51,0,0,130,0,0,375
Colorado,Weld,2010,365,231,127,7,0,0,0,126,77,46,18,0,308,38,1,382
Connecticut,Fairfield,2010,365,240,96,25,4,0,0,179,93,43,1,64,164,136,0,410
Connecticut,Hartford,2010,365,290,69,5,1,0,0,159,67,35,18,70,136,141,0,432
Connecticut,Litchfield,2010,365,308,52,4,1,0,0,154,61,38,4,6,336,19,0,443
Connecticut,Middlesex,2010,179,124,46,8,1,0,0,151,84,44,0,0,179,0,0,450
Connecticut,New Haven,2010,364,248,99,17,0,0,0,140,77,42,0,55,193,116,0,466
Connecticut,New London,2010,364,285,71,8,0,0,0,126,66,37,0,0,151,213,0,517
Connecticut,Tolland,2010,181,129,37,13,2,0,0,190,84,43,0,0,181,0,0,524
Connecticut,Windham,2010,326,282,39,5,0,0,0,122,61,36,0,0,326,0,0,529
Delaware,Kent,2010,307,207,88,9,3,0,0,166,84,43,0,0,245,62,0,532
Delaware,New Castle,2010,365,184,148,28,5,0,0,156,97,50,0,12,198,155,0,536
Delaware,Sussex,2010,304,181,102,17,4,0,0,182,93,47,0,0,258,46,0,609
District of Columbia,District of Columbia,630
Florida,Alachua,2010,365,275,89,1,0,0,0,101,59,41,0,0,236,129,0,639
Florida,Baker,2010,363,336,27,0,0,0,0,97,49,36,0,0,363,0,0,641
Florida,Bay,2010,365,252,107,6,0,0,0,140,67,43,0,0,203,162,0,658
Florida,Brevard,2010,365,286,79,0,0,0,0,87,58,43,0,0,233,132,0,686
Florida,Broward,2010,365,283,81,1,0,0,0,105,58,41,0,16,150,199,0,695
Florida,Citrus,2010,122,106,16,0,0,0,0,65,52,32,0,0,0,122,0,843
Florida,Collier,2010,362,302,60,0,0,0,0,92,54,39,0,0,189,173,0,894
Florida,Columbia,2010,361,236,124,1,0,0,0,101,63,44,0,0,148,213,0,903
Florida,Duval,2010,365,243,117,5,0,0,0,147,67,45,0,1,224,138,2,924
Florida,Escambia,2010,365,223,134,6,2,0,0,156,74,46,0,1,219,145,0,931
Florida,Hamilton,2010,351,265,86,0,0,0,0,75,57,39,0,0,0,351,0,942
Florida,Highlands,2010,348,312,36,0,0,0,0,97,51,36,0,0,348,0,0,946
Florida,Hillsborough,2010,365,195,160,9,1,0,0,154,74,49,0,0,194,171,0,947
Florida,Holmes,2010,365,243,122,0,0,0,0,93,62,44,0,0,158,207,0,948
Florida,Indian River,2010,339,288,51,0,0,0,0,90,58,39,0,0,339,0,0,949
Florida,Lake,2010,365,281,83,1,0,0,0,136,59,41,0,0,192,173,0,953
Florida,Lee,2010,365,285,79,1,0,0,0,101,60,41,0,0,254,107,4,954
Florida,Leon,2010,365,210,154,0,1,0,0,158,64,47,0,0,101,264,0,955
Florida,Liberty,2010,324,293,31,0,0,0,0,93,50,36,0,0,324,0,0,957
Florida,Manatee,2010,365,309,53,3,0,0,0,101,64,37,0,0,365,0,0,959
Florida,Marion,2010,365,271,92,2,0,0,0,112,61,42,0,0,230,135,0,960
Florida,Martin,2010,204,177,27,0,0,0,0,77,53,38,0,0,106,98,0,961
Florida,Miami-Dade,2010,365,249,112,4,0,0,0,150,61,44,0,5,136,224,0,962
Florida,Okaloosa,2010,365,310,52,3,0,0,0,147,58,37,0,0,365,0,0,965
