County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
St. Clair County,Alabama,50.43,49.57,7.95,18.68,7.97,13,16.43,14.1,10.17,6.98,4.73,90.03,8.13,0.37,0.17,0.03,0.41,0.85,1.06,89.46,31.43,33.41,19.91,8.15,7.1
Shelby County,Alabama,49.03,50.97,8.95,18.54,8.26,14.5,17.86,15,8.39,5.12,3.38,89.8,7.4,0.33,1.03,0.02,0.71,0.72,2.03,88.6,18.52,26.05,21.92,14.16,19.36
Sumter County,Alabama,45.92,54.08,8.52,22.21,11.66,10.75,13.45,11.62,7.89,6.66,7.24,25.92,73.17,0.09,0.1,0.01,0.18,0.52,1.12,25.77,60.4,22.93,10.78,3.65,2.24
Talladega County,Alabama,48.91,51.09,7.65,18.83,8.79,12.29,15.29,14.03,9.85,7.4,5.87,67.02,31.55,0.23,0.2,0.02,0.27,0.71,1.01,66.48,41.09,30.86,16.42,6.43,5.19
Tallapoosa County,Alabama,47.51,52.49,7.5,17.9,7.44,11.2,14.46,14.06,10.88,8.65,7.92,73.48,25.36,0.26,0.18,0.01,0.17,0.54,0.58,73.16,41.19,30.54,15.7,6.33,6.25
Tuscaloosa County,Alabama,48.14,51.86,7.7,17.73,16.12,12.29,14.14,12.96,7.79,6.3,4.96,68.12,29.31,0.23,0.92,0.03,0.56,0.82,1.29,67.55,37.83,28.32,17.55,8.48,7.82
Walker County,Alabama,48.25,51.75,7.65,17.13,8.57,11.96,14.85,14.18,10.88,8.17,6.61,92.15,6.17,0.28,0.2,0.02,0.31,0.86,0.86,91.72,44.26,29.73,15.23,6.04,4.74
Washington County,Alabama,49.01,50.99,8.94,21.22,8.37,11.58,14.59,13.26,9.63,7.01,5.4,64.98,26.89,7.12,0.06,0.03,0.05,0.87,0.88,64.5,40.77,30.45,19.17,6.79,2.82
Wilcox County,Alabama,46.59,53.41,9.64,22.78,8.44,10.76,13.62,12.19,8.83,7.1,6.63,27.51,71.9,0.14,0.13,0.02,0.11,0.19,0.74,27.39,60.28,25.34,8.64,2.65,3.09
Winston County,Alabama,48.97,51.03,7.51,17.43,7.86,12.38,15.13,13.98,11.48,8.02,6.2,97.32,0.38,0.46,0.13,0.01,0.9,0.81,1.5,96.83,44.52,33.5,12.94,4.49,4.54
Aleutians East Borough,Alaska,64.89,35.11,5.27,12.61,10.38,16.17,24.84,19.91,8.19,1.89,0.74,23.95,1.67,37.26,26.51,0.3,7.38,2.93,12.57,19.32,22.9,30.34,19.85,11.07,15.84
Aleutians West Census Area,Alaska,64.28,35.72,5.54,12.44,8.66,20.37,25.62,18.7,6.39,1.74,0.55,40.04,3.02,20.95,24.59,0.62,7.32,3.46,10.48,37.68,12.48,24.33,25.9,16.33,20.96
Anchorage Municipality,Alaska,50.59,49.41,9.32,21.24,9.63,13.93,18.52,14.91,6.98,3.42,2.05,72.23,5.84,7.28,5.55,0.93,2.19,5.98,5.69,69.92,17.52,26.77,22.62,14.3,18.79
Bethel Census Area,Alaska,53.11,46.89,12.31,29.2,9.34,12.16,15.39,10.61,5.79,3.23,1.96,12.53,0.38,81.93,1.05,0.06,0.19,3.85,0.87,12.23,33.21,31.71,15.54,9.83,9.71
Bristol Bay Borough,Alaska,54.45,45.55,8.9,23.69,5.48,10.49,23.45,17.09,7.07,2.78,1.03,52.54,0.56,43.72,0.24,0.48,0.08,2.38,0.56,52.15,18.29,29.07,24.19,18.9,9.55
Denali Borough,Alaska,58.16,41.84,6.39,18.23,7.34,12.84,22.45,20.66,9.03,2.17,0.9,85.74,1.43,4.75,1.53,0.37,0.95,5.23,2.48,84.52,20.56,25.89,22.08,16.88,14.59
Dillingham Census Area,Alaska,52.15,47.85,11.54,27.77,7.42,11.19,16.82,12.74,6.79,3.72,2.01,21.64,0.37,70.13,0.61,0.02,0.55,6.68,2.26,20.95,32.56,25.88,18.8,9.46,13.3
Fairbanks North Star Borough,Alaska,52.17,47.83,9.72,21.83,12.57,14.48,16.96,13.76,6.03,2.9,1.75,77.79,5.85,6.9,2.08,0.3,1.71,5.39,4.15,75.98,21.49,29.33,22.38,12.71,14.09
Haines Borough,Alaska,50.63,49.37,6.73,19.9,5.06,9.32,18.1,20.53,9.91,6.19,4.26,82.53,0.13,11.5,0.71,0.08,0.42,4.64,1.38,81.94,30.15,28.83,21.12,10.36,9.54
Juneau City and Borough,Alaska,50.37,49.63,7.89,21.07,7.7,12.76,18.82,17.95,7.72,3.53,2.55,74.79,0.81,11.38,4.68,0.38,1.05,6.91,3.39,73.26,15.48,23.96,21.89,18.93,19.74
Kenai Peninsula Borough,Alaska,52.03,47.97,8.04,23.41,6.32,10.39,18.26,17.59,8.65,4.75,2.59,86.21,0.46,7.47,0.97,0.17,0.84,3.88,2.19,85.05,25.92,27.48,21.63,12.06,12.91
Ketchikan Gateway Borough,Alaska,51.09,48.91,8.35,21.26,7.01,11.75,18.69,16.33,8.73,4.55,3.33,74.34,0.5,14.99,4.29,0.16,0.44,5.29,2.64,72.95,18.86,29.95,22.19,14.95,14.06
Kodiak Island Borough,Alaska,52.91,47.09,10.71,23.04,8.24,13.61,19.13,14.26,6.18,3.23,1.61,59.69,0.96,14.58,16.04,0.79,2.78,5.16,6.1,57.51,18.73,25.46,21.69,14.74,19.39
Lake and Peninsula Borough,Alaska,53.15,46.85,10.2,29.13,7.9,8.67,18.43,12.51,7.73,3.57,1.87,18.76,0.05,73.51,0.22,0.16,0.33,6.97,1.15,18.76,34.24,32.03,12.78,10.9,10.05
Matanuska-Susitna Borough,Alaska,51.97,48.03,8.57,25.19,6.83,10.73,19.42,15.99,7.37,3.96,1.94,87.55,0.69,5.5,0.7,0.12,0.86,4.57,2.5,86.27,22.43,26.22,23.63,13.88,13.84
Nome Census Area,Alaska,54.03,45.97,10.2,28.41,9.13,12.07,15.7,12.33,6.27,3.5,2.37,19.32,0.38,75.2,0.67,0.02,0.2,4.21,1,19.05,31.27,27.48,18.32,11.17,11.76
North Slope Borough,Alaska,52.95,47.05,11.36,28.65,8.86,12.17,16.7,12.15,5.94,2.72,1.45,17.09,0.72,68.38,5.92,0.84,0.5,6.55,2.37,16.63,17.3,20.27,22.02,17.77,22.64
Northwest Arctic Borough,Alaska,53.37,46.63,12.74,30.41,9.84,12.49,14.07,10.47,5.01,3.43,1.55,12.32,0.21,82.46,0.89,0.06,0.36,3.7,0.79,12.18,27.28,26.94,21.03,12.32,12.43
Prince of Wales-Outer Ketchikan Census Area,Alaska,54.51,45.49,8.87,23.66,7.01,10.82,18.14,16.61,9.19,3.95,1.74,53.12,0.15,38.68,0.36,0.05,0.5,7.14,1.74,52.52,28.33,32.51,23,9.34,6.83
Sitka City and Borough,Alaska,50.99,49.01,7.75,20.94,9,11.94,17.8,15.46,8.68,5.15,3.27,68.5,0.32,18.57,3.79,0.35,0.94,7.53,3.28,67.09,18.2,29.53,22.07,15.45,14.75
