County,State,Males,Females,Under 6 years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and above,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,100K and over
Bedford city,Virginia,47.55,52.45,6.73,16.02,7.08,11.38,15.48,11.95,8.78,9.72,12.86,75.33,22.38,0.24,0.57,0.08,0.24,1.16,0.89,74.66,45.2,33.49,12.98,3.13,5.2
Bristol city,Virginia,45.06,54.94,6.41,14.97,8.7,11.3,13.73,13.42,10.94,10.22,10.32,92.54,5.57,0.25,0.37,0.01,0.18,1.08,0.97,91.92,46.1,32.45,12.54,4.99,3.93
Buena Vista city,Virginia,46.37,53.63,7.26,17.06,10.14,11.61,13.03,13.73,10.88,8.54,7.75,93.56,4.8,0.3,0.43,0.02,0.08,0.82,1.01,92.75,38.28,34.78,18.25,4.45,4.25
Charlottesville city,Virginia,46.66,53.34,5.26,13.86,31.7,12.69,11.19,9.35,5.87,5.12,4.97,69.56,22.22,0.11,4.93,0.03,1.02,2.13,2.45,68.43,42,27.98,15.3,7.12,7.59
Chesapeake city,Virginia,48.56,51.44,8.67,21.45,7.95,12.36,18.88,13.81,7.92,5.13,3.82,66.87,28.53,0.39,1.84,0.05,0.7,1.62,2.05,65.87,19.78,29.26,25.34,13.71,11.92
Clifton Forge city,Virginia,44.11,55.89,6.57,15.83,6.32,10.1,14.34,12.24,10.93,10.56,13.1,82.96,14.62,0.09,0.05,0,0.49,1.8,0.89,82.61,49.08,31.56,11.86,3.05,4.46
Colonial Heights city,Virginia,46.76,53.24,6.59,17.17,8.39,10.77,14.78,13.33,10.36,9.61,9,89.08,6.27,0.19,2.72,0.08,0.64,1.02,1.62,88.3,21.5,36.09,21.59,11.13,9.69
Covington city,Virginia,47.8,52.2,7.47,15.17,8.35,11.6,13.28,12.98,10.95,9.88,10.33,84.06,13.14,0.35,0.65,0.02,0.21,1.59,0.63,83.63,40.95,35.59,17.25,4.06,2.15
Danville city,Virginia,45.49,54.51,7.23,17.37,7.78,10.4,13.99,13.81,9.79,9.71,9.92,53.86,44.11,0.17,0.6,0.03,0.45,0.78,1.26,53.32,46.71,28.72,14.65,4.76,5.16
Emporia city,Virginia,45.47,54.53,7.7,18.68,8.01,10.24,14.17,11.35,9.23,8.88,11.74,42.45,56.15,0.07,0.53,0.07,0.3,0.42,1.48,41.34,40.5,32.99,16.79,5.67,4.05
Fairfax city,Virginia,48.77,51.23,7.15,14.45,9.7,15.07,17,14.18,9.63,6.77,6.04,72.91,5.07,0.34,12.17,0.07,6.17,3.26,13.64,66.67,9.92,21.65,23.92,17.98,26.52
Falls Church city,Virginia,48.66,51.34,6.65,17.68,5.37,12.17,17.82,18.99,9.15,5.11,7.05,84.97,3.28,0.24,6.5,0.07,2.52,2.43,8.44,79.55,12.01,18.69,19.34,14.09,35.87
Franklin city,Virginia,44.2,55.8,6.45,20.12,7.28,9.38,14.46,13.74,10.16,8.6,9.8,45.72,52.31,0.14,0.78,0.01,0.19,0.84,0.55,45.53,41.3,28.28,13.93,7.13,9.37
Fredericksburg city,Virginia,45.01,54.99,6.91,14.11,22.31,13.1,12.37,11.09,7.3,6.34,6.47,73.18,20.41,0.34,1.51,0.06,2.56,1.95,4.9,71.37,34.39,31.45,17.09,6.98,10.09
Galax city,Virginia,47.54,52.46,7.68,16.4,8.16,11.48,13.57,13.16,10.38,9.8,9.36,86.11,6.26,0.45,0.7,0.01,5.51,0.95,11.07,81.16,43.81,30.87,18.04,2.89,4.39
Hampton city,Virginia,49.56,50.44,7.7,18.26,12.38,13.25,17.67,12.38,8.02,5.81,4.53,49.55,44.68,0.42,1.84,0.09,1.03,2.39,2.84,48.46,29.01,33.44,20.97,9.73,6.85
Harrisonburg city,Virginia,47.37,52.63,5.64,14.71,37.36,9.93,9.86,8.03,5.15,4.3,5.01,84.84,5.92,0.19,3.11,0.02,3.35,2.57,8.85,80.1,42.5,29.67,14.7,6.17,6.96
Hopewell city,Virginia,46.73,53.27,9.04,18.86,9.21,12.86,14.47,11.89,9.06,7.82,6.8,62.29,33.48,0.35,0.81,0.07,1.23,1.77,2.91,61.09,35.36,35.76,18.87,5.38,4.64
Lexington city,Virginia,55.21,44.79,3.6,12.74,37.18,6.57,6.84,9.03,7.65,7.7,8.69,86.01,10.38,0.26,1.92,0.01,0.48,0.93,1.59,85,44.62,21.41,13.23,9.18,11.56
Lynchburg city,Virginia,45.72,54.28,7.14,17.25,14.49,10.95,13.07,12.4,8.39,7.49,8.82,66.63,29.7,0.26,1.28,0.04,0.63,1.46,1.35,66.05,39.1,31.17,15.36,7.09,7.27
Manassas city,Virginia,50.86,49.14,10.35,20.66,9.83,15.98,18.4,13.06,6.32,3.09,2.32,72.05,12.91,0.36,3.43,0.09,7.89,3.26,15.13,66.33,13.12,25.77,24.28,17.32,19.52
Manassas Park city,Virginia,50.94,49.06,12,20.32,9.51,18.62,19.38,10.19,5.68,3.02,1.27,72.79,11.17,0.44,4.06,0.07,8.14,3.33,15,67.24,11.01,24.75,30,20.44,13.8
Martinsville city,Virginia,45.19,54.81,6.82,16.89,6.77,10.62,15.13,13.1,10.05,9.68,10.94,55.38,42.55,0.1,0.47,0,0.69,0.81,2.32,54.07,45.57,29.86,14.16,4.49,5.92
Newport News city,Virginia,48.39,51.61,9.5,19.48,11.61,14.15,16.37,11.53,7.29,5.42,4.66,53.5,39.07,0.42,2.33,0.12,1.79,2.77,4.22,51.97,32.12,34.13,19.66,8.17,5.92
Norfolk city,Virginia,51.12,48.88,8.41,17.45,18.3,13.71,14.32,10.67,6.24,5.54,5.36,48.36,44.11,0.46,2.81,0.11,1.67,2.48,3.8,47.02,38.72,33.31,15.55,6.11,6.31
Norton city,Virginia,45.01,54.99,6.53,16.62,10.22,11.68,14.27,14.86,10.55,8.09,7.17,91.57,6.15,0.08,1,0.13,0.18,0.9,0.87,90.88,52.66,27.17,11.27,3.64,5.26
Petersburg city,Virginia,45.72,54.28,7.74,18.6,8.94,11.82,14.47,13.22,9.66,7.98,7.57,18.52,78.97,0.2,0.7,0.03,0.59,1,1.37,18.17,42.95,31.71,15.05,5.93,4.36
Poquoson city,Virginia,50.05,49.95,6.38,21.87,5.64,8.31,17.74,16.89,11.81,6.62,4.74,96.26,0.67,0.23,1.57,0.03,0.27,0.95,1.05,95.52,14.21,23.04,26.74,17.33,18.67
Portsmouth city,Virginia,48.31,51.69,8.51,18.72,11.01,12.57,15.09,12.3,8.03,6.84,6.94,45.84,50.61,0.48,0.77,0.07,0.61,1.62,1.74,45.15,35.9,34.01,18.38,6.93,4.79
Radford city,Virginia,45.49,54.51,4.17,14.5,40.08,8.93,8.78,8.22,6.08,4.86,4.38,88.21,8.1,0.25,1.43,0.03,0.49,1.51,1.16,87.65,50.47,25.31,14.71,4.24,5.27
Richmond city,Virginia,46.55,53.45,7.48,16.08,13.24,14.76,15.09,12.63,7.51,6.49,6.72,38.3,57.19,0.24,1.25,0.08,1.49,1.46,2.57,37.67,40.32,30.17,14.76,6.46,8.29
Roanoke city,Virginia,46.89,53.11,7.85,15.79,8.46,13.83,15.33,13.8,8.54,7.76,8.63,69.38,26.74,0.2,1.15,0.02,0.72,1.78,1.48,68.75,40.52,33.11,15.42,5.94,5.01
Salem city,Virginia,47.19,52.81,5.98,16.71,10.91,10.7,14.98,13.97,10,8.82,7.94,91.88,5.88,0.13,0.97,0.02,0.25,0.86,0.83,91.3,29.38,34.65,19.35,8.13,8.49
Staunton city,Virginia,47.11,52.89,6.26,15.15,9.93,11.74,14.8,14.02,10.07,8.86,9.17,83.29,13.95,0.22,0.46,0.01,0.52,1.55,1.11,82.71,38.44,29.51,18.69,6.8,6.57
Suffolk city,Virginia,47.76,52.24,8.77,20.34,6.79,12.4,17.77,13.36,9.17,6.26,5.15,53.82,43.53,0.3,0.77,0.02,0.37,1.19,1.27,53.3,30.07,29.75,21.53,9.65,9
Virginia Beach city,Virginia,49.51,50.49,8.71,20.09,10.24,14.87,17.85,12.65,7.14,4.88,3.57,71.41,18.95,0.38,4.91,0.1,1.51,2.75,4.18,69.46,17.76,33.74,24.52,11.88,12.09
Waynesboro city,Virginia,46.82,53.18,7.92,17.08,7.74,11.89,14.55,12.88,10.32,8.9,8.73,86.46,9.96,0.31,0.57,0.03,1.09,1.57,3.29,84.49,37.83,32.6,18.32,5.84,5.4
Williamsburg city,Virginia,44.86,55.14,3.08,12.6,41.18,8.39,8.06,7.98,7,5.94,5.76,79.54,13.34,0.27,4.58,0.06,0.75,1.47,2.52,77.95,33.85,30.48,15.76,6.66,13.25
Winchester city,Virginia,48.48,51.52,7.3,16.24,12.94,13.22,14.88,12.76,8.11,7.74,6.81,82.06,10.47,0.24,1.59,0.03,3.46,2.14,6.47,79.39,34.27,33.22,17.32,6.79,8.4
Adams County,Washington,51.1,48.9,11.27,24.81,9,12.05,13.09,11.63,7.76,5.67,4.72,64.96,0.28,0.68,0.6,0.04,30.69,2.75,47.07,50.93,33.47,39.93,18.11,4.68,3.81
Asotin County,Washington,47.68,52.32,8.15,18.9,7.68,10.2,14.77,13.51,10.46,8.04,8.29,95.62,0.19,1.27,0.51,0.02,0.63,1.77,1.95,94.53,36.76,33.15,16.46,7.21,6.42
Benton County,Washington,49.68,50.32,9.06,22.27,8.1,11.33,16.06,14.42,8.48,5.51,4.78,86.25,0.93,0.82,2.2,0.11,7.01,2.69,12.5,81.74,23.67,29,22.18,13.83,11.32
Chelan County,Washington,49.77,50.23,8.6,20.89,7.88,10.87,15.18,13.99,8.73,6.93,6.94,83.63,0.26,0.99,0.68,0.12,12.19,2.14,19.26,77.44,32.68,30.85,18.95,8.12,9.41
Clallam County,Washington,49.68,50.32,6.2,17.26,6.41,8.33,13.65,15.06,11.82,10.82,10.45,89.12,0.84,5.12,1.13,0.16,1.18,2.44,3.41,87.43,32.82,34.26,19.56,7.48,5.88
Clark County,Washington,49.63,50.37,9.4,20.65,8.28,12.88,16.71,14.39,8.18,4.96,4.54,88.82,1.68,0.84,3.21,0.37,1.99,3.08,4.71,86.65,21.13,30.8,23.92,12.33,11.81
Columbia County,Washington,48.77,51.23,6.59,18.63,6.5,8.14,13.88,15.7,12.03,9.23,9.3,93.73,0.22,0.96,0.42,0.05,2.73,1.89,6.35,90.67,36.08,34.83,17.42,6.58,5.09
Cowlitz County,Washington,49.54,50.46,8.13,20.13,7.99,11.16,15.2,14.5,9.58,6.84,6.47,91.8,0.52,1.52,1.3,0.13,2.11,2.62,4.55,89.91,31.08,31.49,21,9.17,7.27
Douglas County,Washington,49.55,50.45,9.16,21.92,7.64,10.39,15.8,13.62,8.79,6.79,5.9,84.65,0.31,1.09,0.55,0.1,10.83,2.48,19.73,77.23,31.38,31.36,21.87,9.44,5.95
Ferry County,Washington,51.85,48.15,6.63,21.94,6.96,8.2,14.15,17.3,12.23,7.7,4.9,75.48,0.21,18.28,0.29,0.06,2.23,3.46,2.82,74.92,42.08,32.16,17.52,4.83,3.41
Franklin County,Washington,52.19,47.81,11.92,24.49,10.57,12.94,13.67,11.39,6.5,4.7,3.81,61.91,2.49,0.73,1.62,0.12,28.98,4.14,46.67,47.56,32.55,30.69,18.48,9.32,8.96
Garfield County,Washington,49.48,50.52,6.05,21.32,4.96,6.84,14.06,16.02,9.85,10.22,10.68,96.45,0,0.38,0.67,0.04,1.38,1.08,1.96,96.12,37.84,30.13,21.02,6.31,4.7
Grant County,Washington,51.11,48.89,10.43,23.29,9.39,11.78,13.91,11.84,7.82,6.27,5.27,76.54,0.99,1.16,0.87,0.07,17.36,3.01,30.09,65.44,33.6,35.64,17.67,6.95,6.15
Grays Harbor County,Washington,49.69,50.31,7.53,19.63,7.49,10.23,14.74,14.72,10.3,8,7.36,88.3,0.34,4.66,1.22,0.11,2.27,3.1,4.85,86.48,36.47,32.97,18.22,7.28,5.07
Island County,Washington,50.09,49.91,8.09,18.62,8.57,11.54,15.22,13.54,10.16,7.72,6.55,87.17,2.36,0.97,4.19,0.44,1.43,3.44,3.97,85.15,22.86,32.46,24.37,10.38,9.93
Jefferson County,Washington,48.92,51.08,5,15.9,4.41,7.06,13.99,18.4,14.12,11.68,9.44,92.17,0.42,2.31,1.19,0.13,0.76,3.02,2.06,91.04,32.19,32,19.04,8.51,8.26
King County,Washington,49.77,50.23,7.3,16.44,9.56,15.38,17.78,14.92,8.15,5.12,5.35,75.73,5.4,0.92,10.81,0.52,2.56,4.06,5.48,73.41,19.98,26.51,21.17,13.62,18.72
Kitsap County,Washington,50.66,49.34,8.14,20.02,8.98,11.7,16.76,15.23,8.58,5.42,5.16,84.27,2.87,1.62,4.39,0.78,1.43,4.64,4.14,82.23,22.5,31.01,22.38,12.48,11.63
Kittitas County,Washington,49.68,50.32,6.14,16.58,21.04,10.02,13.03,12.54,9.05,5.94,5.67,91.77,0.71,0.91,2.19,0.15,2.3,1.97,5,89.4,40.2,28.21,16.94,7.42,7.24
Klickitat County,Washington,49.87,50.13,7.83,20.77,5.94,9.32,15.38,16.08,10.89,7.53,6.27,87.56,0.27,3.47,0.73,0.21,5.02,2.75,7.81,85.22,36.25,33.16,18.95,6.98,4.65
Lewis County,Washington,49.57,50.43,7.71,20.39,7.59,9.8,14.46,14.33,10.16,7.9,7.65,92.96,0.38,1.22,0.69,0.18,2.55,2.01,5.37,90.63,34.05,34.39,19.4,6.99,5.17
Lincoln County,Washington,49.59,50.41,7,19.51,4.72,7.91,14.5,15.12,12.25,9.66,9.31,95.64,0.23,1.63,0.25,0.07,0.58,1.61,1.88,94.58,33.09,35.65,18.73,6.96,5.57
Mason County,Washington,51.69,48.31,6.68,18.23,7.27,10.11,15.39,14.62,11.21,9.52,6.97,88.46,1.19,3.72,1.05,0.45,2.1,3.03,4.78,86.3,29.77,34.35,21.67,8.07,6.13
Okanogan County,Washington,49.81,50.19,7.62,21.6,6.8,9.9,14.55,15.01,10.48,7.78,6.27,75.32,0.28,11.47,0.44,0.07,9.58,2.84,14.38,71.69,42.57,33.61,13.98,5.75,4.09
Pacific County,Washington,49.57,50.43,5.51,17.28,5.32,7.69,12.75,15.12,13.76,12.43,10.14,90.54,0.2,2.44,2.08,0.09,1.83,2.82,5.01,87.98,40.7,33.91,15.17,5.86,4.36
Pend Oreille County,Washington,50.13,49.87,6.78,20.95,4.63,7.63,15.6,17.1,12.39,8.9,6.02,93.53,0.14,2.88,0.63,0.2,0.57,2.04,2.05,92.23,40,32.03,16.21,6.54,5.22
Pierce County,Washington,49.74,50.26,8.56,20.12,9.65,13.08,16.9,13.49,7.98,5.44,4.78,78.39,6.95,1.42,5.08,0.85,2.2,5.11,5.51,76.04,24.19,30.99,22.51,11.88,10.43
San Juan County,Washington,48.73,51.27,4.71,15.42,4.27,6.58,14.4,20.5,15.16,10.05,8.92,94.99,0.26,0.83,0.89,0.09,0.91,2.04,2.4,93.68,26.25,31.69,19.42,8.95,13.68
Skagit County,Washington,49.51,50.49,7.87,20.02,8.11,10.9,14.94,14.44,9.13,7.3,7.3,86.49,0.44,1.85,1.49,0.16,7.17,2.4,11.2,83.02,25.92,33.05,20.99,10.56,9.48
Skamania County,Washington,50.31,49.69,7.67,20.33,6.19,9.83,17.86,16.87,10.26,6.38,4.62,92.11,0.3,2.2,0.54,0.17,2.43,2.25,4.03,90.38,28.9,33.82,22.63,8.35,6.3
Snohomish County,Washington,50.03,49.97,8.65,20.13,8.35,13.42,18.32,14.3,7.68,4.74,4.4,85.63,1.67,1.36,5.78,0.28,1.92,3.36,4.72,83.36,17.89,28.13,24.81,14.92,14.25
Spokane County,Washington,49.08,50.92,7.91,19.39,10.23,11.83,15.8,14.25,8.17,6.03,6.4,91.39,1.59,1.4,1.88,0.16,0.82,2.76,2.77,89.83,32.19,32.09,19.3,8.51,7.91
Stevens County,Washington,49.77,50.23,7.45,22.8,5.66,8.48,15.62,16.13,10.99,7.09,5.79,90.05,0.28,5.66,0.48,0.16,0.68,2.7,1.84,89.15,36.5,33.4,18.18,7.62,4.29
Thurston County,Washington,48.97,51.03,7.5,19.3,9.04,11.83,16.29,15.73,8.9,5.8,5.6,85.66,2.35,1.52,4.41,0.52,1.69,3.85,4.53,83.41,22.99,30.51,23.86,11.82,10.81
Wahkiakum County,Washington,50.03,49.97,6.46,18.02,4.92,7.71,13.78,16.47,14.17,9.91,8.55,93.46,0.26,1.57,0.47,0.08,1.65,2.51,2.56,92.73,28.76,33.68,25.58,7.32,4.66
Walla Walla County,Washington,50.93,49.07,7.54,18.91,12.66,11.07,14.23,12.79,7.99,6.64,8.17,85.32,1.69,0.84,1.11,0.22,8.24,2.57,15.68,78.84,36.12,29.22,20.22,7.92,6.52
Whatcom County,Washington,49.27,50.73,7.39,18.5,13.77,11.53,14.64,14.4,8.15,5.89,5.74,88.41,0.69,2.82,2.78,0.14,2.49,2.66,5.21,86.23,30.31,31.36,20.17,9.24,8.93
Whitman County,Washington,50.61,49.39,5.78,15.25,31.64,11.19,10.9,9.59,6.41,4.4,4.84,88.07,1.53,0.73,5.55,0.27,1.22,2.63,2.99,86.69,44.7,26.96,15.28,6.78,6.29
Yakima County,Washington,49.91,50.09,10.49,22.94,9.5,12.03,14.15,11.97,7.72,5.57,5.62,65.6,0.97,4.48,0.95,0.09,24.43,3.48,35.9,56.49,34.71,32.64,18.32,7.36,6.97
Barbour County,West Virginia,49.15,50.85,6.47,18.04,9.02,11.18,14.51,14.44,10.79,8.15,7.41,97.36,0.49,0.71,0.26,0.02,0.12,1.03,0.47,97.03,50.47,32.01,11.84,3.42,2.25
Berkeley County,West Virginia,49.78,50.22,8.05,18.95,8.29,13.27,16.73,14.41,9.14,6.59,4.56,92.74,4.69,0.25,0.46,0.02,0.56,1.28,1.52,91.87,29.66,34.54,21.54,8.28,5.99
Boone County,West Virginia,48.84,51.16,7.43,16.9,9.12,11.51,15.23,16.47,9.79,7.45,6.11,98.53,0.65,0.12,0.07,0.02,0.07,0.54,0.46,98.16,48.88,28.49,14.76,5.02,2.85
Braxton County,West Virginia,50.63,49.37,6.45,17.27,7.73,11.84,15.07,15.04,10.75,8.2,7.65,98.02,0.69,0.35,0.11,0.05,0.08,0.71,0.44,97.63,50.9,29.9,11.86,4.33,3
Brooke County,West Virginia,47.87,52.13,6.14,15.65,9.09,10.38,14.42,15.51,10.48,9.61,8.71,97.9,0.85,0.1,0.34,0.04,0.09,0.69,0.39,97.62,36.72,35.06,17.33,6.08,4.8
Cabell County,West Virginia,47.77,52.23,6.56,15.16,13.3,11.72,13.61,13.82,9.82,8.36,7.66,93.37,4.29,0.18,0.77,0.04,0.2,1.14,0.68,92.93,44.62,28.92,14.47,6.37,5.62
Calhoun County,West Virginia,49.93,50.07,6.08,17.67,7.64,9.35,15.54,15.87,11.18,8.97,7.7,98.91,0.11,0.3,0.11,0.01,0.13,0.44,0.55,98.56,56.49,25.58,13.52,2.92,1.49
Clay County,West Virginia,49.46,50.54,7.43,19.77,8.62,11.47,14.84,14.29,9.89,8.04,5.64,98.22,0.08,0.71,0.02,0,0.09,0.89,0.41,97.85,54.05,29.69,11.09,2.89,2.27
Doddridge County,West Virginia,50.47,49.53,6.96,19.87,7.51,10.02,15.67,14.62,10.52,8.44,6.39,98.31,0.27,0.31,0.15,0,0.14,0.82,0.57,97.96,45.79,35.9,11.68,4.24,2.38
Fayette County,West Virginia,49.54,50.46,6.75,16.35,9.43,11.18,14.74,15.31,9.82,8.58,7.84,92.74,5.57,0.27,0.3,0.04,0.15,0.93,0.68,92.21,50.37,29.99,12.37,4.26,3
Gilmer County,West Virginia,50.28,49.72,5.89,16.54,15.46,9.69,13.55,13.16,10.38,8.18,7.15,97.33,0.91,0.2,0.57,0.01,0.1,0.88,0.7,96.87,54.75,28.06,9.42,4.82,2.95
Grant County,West Virginia,49.43,50.57,7.63,16.29,7.7,12.1,14.19,15.11,11.69,8.17,7.12,98.33,0.67,0.26,0.14,0.02,0.13,0.45,0.55,97.87,44.6,33.29,14.87,4.36,2.89
Greenbrier County,West Virginia,48.05,51.95,6.68,16.24,7.37,10.26,14.87,15.37,11.5,9.47,8.24,95.23,3.04,0.34,0.19,0.01,0.15,1.04,0.68,94.71,47.01,32.08,12.19,4.11,4.62
Hampshire County,West Virginia,49.93,50.07,7.43,19.1,6.69,11.48,15.17,14.55,11.03,8.35,6.2,98.04,0.83,0.24,0.16,0.02,0.12,0.59,0.55,97.67,38.63,36.03,18.38,4.28,2.67
Hancock County,West Virginia,48.02,51.98,6.47,15.49,7.18,10.78,15.3,15.78,10.58,9.89,8.53,96.42,2.3,0.12,0.35,0.01,0.12,0.69,0.74,95.84,35.16,35.68,17.9,6.67,4.59
Hardy County,West Virginia,49.37,50.63,7.41,17.28,7.19,12.02,15.87,14.41,10.95,8.48,6.39,96.87,1.93,0.16,0.14,0,0.23,0.67,0.66,96.5,37.98,36.33,16.55,5.17,3.97
Harrison County,West Virginia,47.87,52.13,6.97,17.53,8.12,11.21,15.12,14.42,10.06,8.29,8.29,96.55,1.61,0.15,0.59,0.03,0.21,0.86,0.96,95.78,41.76,31.3,15.34,6.65,4.95
Jackson County,West Virginia,48.65,51.35,7.25,18.05,7.78,11.29,15.35,13.78,11.16,8.9,6.43,98.75,0.08,0.21,0.23,0.01,0.1,0.62,0.29,98.55,38.72,34.44,16.94,5.61,4.29
Jefferson County,West Virginia,49.47,50.53,7.49,17.98,9.5,11.93,16.79,15.45,9.67,6.35,4.85,91.02,6.09,0.28,0.6,0.04,0.6,1.37,1.74,89.97,27.55,28.32,21.92,12.15,10.06
Kanawha County,West Virginia,47.57,52.43,6.85,15.73,8.45,11.37,15.45,15.56,10.09,8.66,7.85,90.46,6.97,0.21,0.85,0.02,0.21,1.27,0.59,90.1,37.64,30.19,16.87,7.55,7.74
Lewis County,West Virginia,48.5,51.5,6.51,16.92,7.37,11.71,15.22,14.99,10.9,8.61,7.77,98.59,0.13,0.2,0.29,0,0.08,0.7,0.5,98.14,46.54,34.38,12.62,3.8,2.66
Lincoln County,West Virginia,49.29,50.71,7.27,17.8,9.2,12.27,15.42,14.67,10.24,7.73,5.4,99.04,0.06,0.17,0.06,0.01,0.06,0.61,0.55,98.55,54.14,26.59,12.05,4.66,2.56
Logan County,West Virginia,48.51,51.49,6.95,16.55,9.21,11.64,15.11,16.34,9.75,8.38,6.07,96.33,2.59,0.12,0.3,0.02,0.06,0.59,0.54,95.88,50.73,27.16,13.02,5.35,3.73
McDowell County,West Virginia,47.48,52.52,6.36,18.19,7.75,10.17,15.36,15.79,10.27,8.47,7.64,87.06,11.89,0.17,0.06,0.01,0.07,0.74,0.48,86.7,66.09,24.51,6.09,1.76,1.55
Marion County,West Virginia,47.53,52.47,6.18,15.88,10.34,11.32,13.81,14.38,10.28,8.71,9.09,95.1,3.22,0.2,0.41,0.01,0.13,0.93,0.7,94.54,44.07,30.72,15.15,5.61,4.45
Marshall County,West Virginia,48.67,51.33,6.53,17.59,7.11,10.99,15.08,16.04,10.36,8.81,7.5,98.4,0.43,0.11,0.25,0.03,0.12,0.67,0.64,97.87,40.73,30.85,17,6.89,4.53
Mason County,West Virginia,49.02,50.98,7.15,16.95,8.15,10.88,15.58,14.87,11.26,8.68,6.47,98.37,0.5,0.18,0.27,0.01,0.11,0.56,0.47,98.01,46.32,30.96,14.27,4.77,3.67
Mercer County,West Virginia,47.67,52.33,6.96,15.43,9.79,11.15,13.74,15.03,10.48,9.03,8.39,92.56,5.82,0.19,0.46,0.01,0.1,0.85,0.45,92.21,47.41,31.79,12.12,4.91,3.77
Mineral County,West Virginia,48.93,51.07,6.63,18.31,8.02,11.58,14.46,14.66,11.25,8.09,6.99,96.16,2.55,0.11,0.2,0.01,0.21,0.76,0.58,95.74,40.94,33.86,15.55,6.37,3.29
Mingo County,West Virginia,48.37,51.63,7.08,18.6,8.98,12.07,15.86,15.64,9.32,7.22,5.22,96.39,2.34,0.24,0.21,0.02,0.06,0.74,0.48,96.04,55.84,27.23,10.5,3.59,2.84
Monongalia County,West Virginia,50.44,49.56,5.88,15,22.46,12.55,13.36,12.53,7.52,5.61,5.1,92.22,3.38,0.2,2.45,0.04,0.32,1.39,1.01,91.57,44.71,27.96,13.47,6.8,7.05
Monroe County,West Virginia,44.37,55.63,6.04,15.24,8.13,13.19,15.96,14.99,11.07,8.38,6.99,92.67,5.98,0.23,0.16,0.01,0.03,0.92,0.49,92.22,44.61,33.41,13.23,4.7,4.04
Morgan County,West Virginia,49.14,50.86,7.36,16.03,6.79,10.93,15.41,15.45,11.46,9.77,6.79,98.3,0.6,0.17,0.12,0.01,0.23,0.57,0.83,97.68,33.95,36.08,19.4,5.81,4.75
Nicholas County,West Virginia,48.88,51.12,6.45,18.09,8.05,11.07,15.36,15.39,10.62,8.26,6.7,98.84,0.05,0.24,0.19,0.02,0.1,0.55,0.48,98.52,46.9,32.54,12.24,4.4,3.92
Ohio County,West Virginia,46.76,53.24,6.21,16.69,9.89,9.76,14.31,14.77,9.61,9.26,9.5,94.5,3.57,0.09,0.78,0.03,0.13,0.91,0.5,94.11,41.82,29.68,15.79,6.85,5.86
Pendleton County,West Virginia,50.33,49.67,6.69,16.29,7.24,11.05,14.85,14.85,11.22,9.46,8.36,96.34,2.12,0.27,0.18,0.04,0.28,0.77,0.89,95.83,39.12,40.34,13.88,3.09,3.57
Pleasants County,West Virginia,50.04,49.96,7.21,17.79,7.71,11.49,16.05,14.72,10.1,7.89,7.04,98.3,0.48,0.47,0.2,0,0.07,0.49,0.37,97.99,37.95,34.91,15,6.98,5.15
Pocahontas County,West Virginia,51.51,48.49,6.08,15.81,7.12,10.71,15.6,15.33,12.08,9.33,7.94,98.38,0.78,0.07,0.14,0,0.05,0.58,0.43,98,47.58,32.89,12.5,3.75,3.28
Preston County,West Virginia,49.55,50.45,6.81,18.2,7.79,11.21,15.44,15.11,10.49,8.11,6.84,98.84,0.29,0.11,0.15,0.02,0.05,0.54,0.57,98.33,44.99,34.71,13.36,4,2.94
Putnam County,West Virginia,49.16,50.84,7.8,18.49,7.34,12.09,17.21,15.54,9.98,6.66,4.9,97.97,0.56,0.16,0.58,0.02,0.13,0.59,0.51,97.62,27.9,30.98,20.58,10.42,10.12
Raleigh County,West Virginia,49.2,50.8,6.59,16.17,8.94,12.24,14.98,15.83,9.85,8.28,7.12,89.63,8.52,0.19,0.72,0.02,0.12,0.8,0.92,88.89,44.97,29.85,14.72,5.5,4.95
Randolph County,West Virginia,50.32,49.68,6.34,17.21,8.61,12,15.37,14.55,10.82,7.58,7.51,97.69,1.07,0.16,0.38,0.01,0.16,0.53,0.68,97.23,45.45,32.35,13.9,5.12,3.17
Ritchie County,West Virginia,49.02,50.98,6.56,17.82,7.36,10.96,15.94,14.87,11.25,8.03,7.2,98.68,0.14,0.27,0.13,0,0.11,0.69,0.47,98.31,44.85,33.01,14.57,4.97,2.61
Roane County,West Virginia,49.5,50.5,6.73,17.89,8.53,10.64,14.93,15.17,11.32,8.11,6.67,98.56,0.22,0.21,0.23,0,0.19,0.6,0.67,98.04,51.07,29.79,11.45,4,3.69
Summers County,West Virginia,48.87,51.13,5.82,15.92,7.3,9.55,14.11,15.7,11.65,10.75,9.2,96.57,2.15,0.25,0.09,0.04,0.1,0.79,0.55,96.12,56.43,27.59,10.95,2.62,2.4
Taylor County,West Virginia,48.91,51.09,6.51,17.7,7.71,11.83,15.6,14.88,9.98,8.25,7.53,98.07,0.83,0.19,0.17,0.04,0.06,0.63,0.59,97.66,45.71,32.87,13.62,4.77,3.04
