State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Alabama,Covington,48.37,51.63,7.06,16.12,7.68,9.77,11.04,12.8,14.58,11.83,9.12,84.43,12.52,0.2,0.67,0.09,0.36,1.72,1.8,83.27,21.0,23.89,17.91,15.4,21.24,37.22,3.11,15.54,89.26,10.74,88
Alabama,Crenshaw,47.77,52.23,6.76,16.94,8.24,10.34,11.92,12.88,14.38,11.64,6.9,71.18,23.89,0.77,1.35,0.06,0.43,2.33,2.24,70.33,20.21,28.98,15.39,13.01,22.41,38.17,1.52,18.07,91.91,8.09,90
Alabama,Cullman,49.15,50.85,7.57,16.37,8.02,10.86,12.02,13.27,13.71,10.78,7.41,94.04,1.0,0.36,0.37,0.0,0.92,3.31,4.44,91.48,15.32,23.92,21.63,15.47,23.2,39.54,1.79,16.55,88.4,11.6,98
Alabama,Dale,46.75,53.25,8.28,17.3,7.55,10.91,12.11,12.47,13.82,10.55,7.01,71.41,21.2,0.87,1.24,0.0,2.31,2.98,6.39,68.33,23.42,23.65,20.31,12.99,19.61,34.55,3.16,19.15,89.19,10.81,101
Alabama,Dallas,46.06,53.94,8.37,17.36,8.48,10.51,11.09,11.82,14.62,10.72,7.03,27.15,71.53,0.13,0.66,0.03,0.0,0.5,0.28,26.99,31.26,26.49,18.49,8.09,14.85,33.28,4.06,19.19,89.79,10.21,110
Alabama,DeKalb,49.33,50.67,7.3,18.37,8.2,10.63,12.58,13.01,13.29,10.2,6.42,84.84,1.35,1.2,0.11,0.13,8.82,3.55,14.87,80.26,22.1,27.36,21.43,11.43,17.38,39.22,1.73,16.76,86.29,13.71,112
Alabama,Elmore,46.53,53.47,7.33,17.37,8.29,12.31,11.76,13.33,13.6,9.82,6.19,76.72,19.38,0.22,0.9,0.0,0.75,2.03,2.98,74.92,11.88,19.91,19.87,15.42,32.92,42.78,1.7,14.83,92.68,7.32,118
Alabama,Escambia,46.58,53.42,7.46,18.71,7.66,11.11,10.91,12.09,13.07,10.62,8.37,64.2,29.35,4.12,0.27,0.13,0.41,1.53,2.37,62.33,28.02,28.1,17.8,10.41,15.57,33.76,4.03,17.05,88.19,11.81,122
Alabama,Etowah,48.24,51.76,6.82,16.17,8.11,10.78,12.48,13.42,13.57,11.3,7.36,79.18,16.02,0.52,0.79,0.0,1.28,2.21,4.11,77.61,19.01,23.94,19.0,15.39,22.14,38.44,2.35,17.56,88.53,11.47,131
Alabama,Fayette,49.08,50.92,7.02,15.61,8.61,9.58,11.07,12.86,14.64,12.22,8.39,84.76,12.09,0.0,0.67,0.02,0.01,2.45,0.55,84.38,25.4,22.23,19.1,18.15,14.34,35.84,3.29,17.63,91.89,8.11,134
