STATE,COUNTY,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM,FID
Alaska,Hoonah-Angoon,2332,320,228.9,13.72,9.82,1100,282,47.17,12.09,912,264.7,39.11,11.35,476
Alaska,Juneau,31323,10913,2647.7,34.84,8.45,15268,2839.5,48.74,9.07,5142,2219.6,16.42,7.09,482
Alaska,Kenai Peninsula,58797,14353,4714,24.41,8.02,30765,5212.5,52.32,8.87,13679,4293.7,23.26,7.3,494
Alaska,Ketchikan Gateway,13659,3961,1051,29,7.69,6786,1192.4,49.68,8.73,2912,1021.5,21.32,7.48,514
Alaska,Kodiak Island,12728,3006,1402.4,23.62,11.02,7430,1568,58.38,12.32,2292,1287.1,18.01,10.11,533
Alaska,Wade Hampton,8360,285,483.8,3.41,5.79,3030,707.8,36.24,8.47,5045,699.6,60.35,8.37,725
Alaska,Lake and Peninsula,1416,150,154.9,10.59,10.94,703,199.1,49.65,14.06,563,190.5,39.76,13.45,544
Alaska,Matanuska-Susitna,109229,32861,7764.3,30.08,7.11,54859,8390.4,50.22,7.68,21509,6538.2,19.69,5.99,556
Alaska,Nome,9741,908,503.1,9.32,5.16,4424,663.7,45.42,6.81,4409,636.4,45.26,6.53,571
Alaska,North Slope,10939,2072,956,18.94,8.74,5197,1207.1,47.51,11.03,3670,1118.2,33.55,10.22,614
Alaska,Northwest Arctic,7515,474,420,6.31,5.59,3401,579.6,45.26,7.71,3640,567.1,48.44,7.55,638
Alaska,Petersburg,3356,1039,271.4,30.96,8.09,1425,305,42.46,9.09,892,257.7,26.58,7.68,645
Alaska,Prince of Wales-Hyder,5729,1148,472.8,20.04,8.25,2938,585.8,51.28,10.23,1643,548.6,28.68,9.58,669
Alaska,Sitka,8392,2544,657.9,30.31,7.84,4104,739.4,48.9,8.81,1744,625.7,20.78,7.46,679
Alaska,Skagway,1132,331,129.7,29.24,11.46,549,139.9,48.5,12.36,252,109.7,22.26,9.69,683
Alaska,Southeast Fairbanks,6970,2093,663.5,30.03,9.52,2861,726.7,41.05,10.43,2016,581.8,28.92,8.35,690
Alaska,Wrangell,2055,362,196.4,17.62,9.56,950,229.7,46.23,11.18,743,205.2,36.16,9.99,733
Alaska,Yakutat,704,116,94.3,16.48,13.39,406,114.6,57.67,16.28,182,106.7,25.85,15.16,744
Alaska,Yukon-Koyukuk,5256,497,401,9.46,7.63,2269,538.4,43.17,10.24,2490,526.9,47.37,10.02,753
Arizona,Apache,65128,8384,3640.4,12.87,5.59,28224,5198.5,43.34,7.98,28520,4996.4,43.79,7.67,761
Arizona,Cochise,123677,32615,10538.5,26.37,8.52,59629,11512.8,48.21,9.31,31433,9564.4,25.42,7.73,763
Arizona,Coconino,134489,40191,11156.6,29.88,8.3,61975,12115.3,46.08,9.01,32323,9838.5,24.03,7.32,771
Arizona,Gila,53238,10121,4285.3,19.01,8.05,27291,5270.4,51.26,9.9,15826,4837.7,29.73,9.09,787
Arizona,Graham,36429,10887,2877.8,29.89,7.9,16612,3238.8,45.6,8.89,8930,2717,24.51,7.46,0
Arizona,Greenlee,9371,3082,956.3,32.89,10.2,4513,1048,48.16,11.18,1776,860.1,18.95,9.18,1
Arizona,La Paz,16303,2150,1261.4,13.19,7.74,8549,1645.7,52.44,10.09,5604,1549.9,34.37,9.51,3
Arizona,Maricopa,4455430,1526401,373552.8,34.26,8.38,2110047,398068.5,47.36,8.93,818982,313574.1,18.38,7.04,9
Arizona,Mohave,214293,54376,18582.2,25.37,8.67,102499,20146.6,47.83,9.4,57418,16730.6,26.79,7.81,15
Arizona,Navajo,106558,18431,7681.5,17.3,7.21,50112,9668.4,47.03,9.07,38015,8868.7,35.68,8.32,17
Arizona,Pima,1036201,317817,87628,30.67,8.46,493092,93365.7,47.59,9.01,225292,74494.8,21.74,7.19,21
