State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
North Carolina,Pender,29751,30643,4301,10325,4054,5595,7828,8422,9129,6734,4006,46944,8371,147,321,74,2991,1546,4441,45634,8302,11730,11346,9512,19430,24832,1727,8469,54973,5421,1718
North Carolina,Perquimans,6464,6953,678,2001,798,1084,1250,1706,2165,2162,1573,9898,3171,27,63,0,121,137,369,9703,2522,3003,2285,2413,3165,4793,243,1967,12203,1214,1724
North Carolina,Person,18844,20339,2396,6342,3030,3741,4673,5310,6177,4572,2942,26251,9983,242,150,27,914,1616,1740,25908,6339,7964,7805,6528,10416,17088,1071,4772,35630,3553,1729
North Carolina,Pitt,83575,94868,12333,30472,29706,21682,20742,20019,20172,14178,9139,100394,62006,625,3227,112,6819,5260,11482,96557,34998,40446,31610,22194,43041,78182,6417,27722,160383,18060,1733
North Carolina,Polk,9633,10782,892,2732,1287,1384,1925,2545,3432,3321,2897,18572,925,75,153,4,301,385,1227,17748,2486,5369,4360,2881,5270,7753,294,2526,18261,2154,1738
North Carolina,Randolph,70004,72106,9562,24669,10980,15208,16548,20508,19984,14913,9738,119546,8651,435,1763,95,7187,4433,16694,111689,24185,36882,30420,21353,29042,59569,2698,20961,123552,18558,1741
North Carolina,Richmond,20698,22687,3041,7475,4088,4169,4969,5869,6030,4695,3049,26490,13642,1150,393,52,586,1072,2910,24767,11593,10952,8031,5496,7234,17084,1578,6463,38890,4495,1744
North Carolina,Robeson,62331,67696,10464,24676,12842,14750,15156,16128,16503,12366,7142,35033,30828,52794,769,33,7733,2837,11581,31843,36840,34567,22812,14760,19059,45208,3564,26607,111520,18507,1747
North Carolina,Rockingham,43145,46750,5647,13869,6966,8550,10195,12534,14179,10599,7356,67371,16224,473,639,16,2265,2907,5606,64807,17279,23705,18349,12444,17745,36370,2437,13617,81404,8491,1751
North Carolina,Rowan,67962,70788,9720,23626,12056,15313,16028,18978,19353,14251,9425,106127,22159,771,1414,5,4009,4265,12643,99842,23574,31186,28234,21061,32503,57175,4070,20483,122942,15808,1754
North Carolina,Rutherford,31706,34035,4082,10410,4847,6298,7228,9109,9872,8440,5455,56420,5892,245,345,19,946,1874,3007,54594,14057,17612,13853,8857,11109,24038,1511,11805,57236,8505,1764
North Carolina,Sampson,30473,31973,5260,10706,5694,6119,7350,8069,8177,6535,4536,37991,15799,1302,369,0,4921,2064,12573,31682,13044,17377,13181,6772,11669,24648,1786,8975,52755,9691,1769
North Carolina,Scotland,15975,17360,2747,5835,3063,3463,3832,3914,4613,3593,2275,14471,12804,4045,250,0,713,1052,1054,14331,9700,8599,5361,4115,4968,11396,1470,6019,29455,3880,1772
North Carolina,Stanly,29967,30657,4476,9533,5220,6856,6751,8188,8345,6819,4436,50711,6762,311,1058,24,461,1297,2652,49037,8405,13701,12198,9705,15870,26316,1350,7694,53852,6772,1775
North Carolina,Stokes,21939,23280,2271,6923,3161,4373,5002,6880,7560,5289,3760,42034,1713,235,175,0,446,616,1485,41119,6811,10964,9784,9409,8175,19297,949,6730,40453,4766,1777
North Carolina,Surry,34550,36556,4540,11570,5535,7003,7996,10237,10082,8248,5895,63522,2590,238,458,125,2520,1653,7817,59299,14283,16679,13416,10694,15832,28443,1247,11163,62298,8808,1780
