State,County,Agency,Ori,total aggravated-assault crimes (2006-2014),total aggravated-assault cleared crimes (2006-2014),total aggravated-assault actual crimes (2006-2014),total violent-crime crimes (2006-2014),total violent-crime cleared crimes (2006-2014),total violent-crime actual crimes (2006-2014),total arson crimes (2006-2014),total arson cleared crimes (2006-2014),total arson actual crimes (2006-2014),total human-trafficing crimes (2006-2014),total human-trafficing cleared crimes (2006-2014),total human-trafficing actual crimes (2006-2014),total rape-legacy crimes (2006-2014),total rape-legacy cleared crimes (2006-2014),total rape-legacy actual crimes (2006-2014),total homicide crimes (2006-2014),total homicide cleared crimes (2006-2014),total homicide actual crimes (2006-2014),total burglary crimes (2006-2014),total burglary cleared crimes (2006-2014),total burglary actual crimes (2006-2014),total motor-vehicle-theft crimes (2006-2014),total motor-vehicle-theft cleared crimes (2006-2014),total motor-vehicle-theft actual crimes (2006-2014),total larceny crimes (2006-2014),total larceny cleared crimes (2006-2014),total larceny actual crimes (2006-2014),total rape crimes (2006-2014),total rape cleared crimes (2006-2014),total rape actual crimes (2006-2014),total property-crime crimes (2006-2014),total property-crime cleared crimes (2006-2014),total property-crime actual crimes (2006-2014),Latitude,Longitude
New Mexico,SANDOVAL,Sandoval County Sheriff's Office,NM0230000,2000,110,245,2122,118,272,24,1,3,0,0,0,60,7,12,20,0,3,4388,59,777,198,13,56,2895,44,571,60,7,12,7481,116,1404,35.685071,-106.882619
New Mexico,SANDOVAL,Bernalillo Police Department,NM0230100,6001,307,844,8168,396,1066,77,2,12,0,0,0,577,29,50,252,8,25,4129,71,815,1529,45,234,8295,495,1490,577,29,50,13953,611,2539,35.685071,-106.882619
New Mexico,SANDOVAL,Cuba Police Department,NM0230200,347,20,79,350,20,80,0,0,0,0,0,0,3,0,1,0,0,0,55,1,12,15,0,5,139,9,25,3,0,1,209,10,42,35.685071,-106.882619
New Mexico,SANDOVAL,Corrales Police Department,NM0230300,699,65,71,767,71,80,20,0,5,0,0,0,44,4,5,0,0,0,1518,23,275,93,2,22,2114,40,391,44,4,5,3725,65,688,35.22278,-106.616104
New Mexico,"BERNALILLO, SANDOVAL",Rio Rancho Police Department,NM0230600,14786,1184,1507,17177,1300,1868,774,42,110,0,0,0,1044,47,159,52,5,6,20978,478,3570,8928,238,1362,64744,2842,10716,1044,47,159,94650,3558,15648,35.268604,-106.634796
New Mexico,SANDOVAL,San Ysidro Police Department,NM0230700,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,4,1,1,0,0,0,9,1,5,35.685071,-106.882619
New Mexico,NOT SPECIFIED,Santa Ana Tribal,NM0230800,119,2,18,208,5,35,76,1,15,0,0,0,7,0,1,7,0,1,322,7,57,231,7,39,739,73,177,7,0,1,1292,87,273,35.344135,-106.53136
New Mexico,SAN JUAN,San Juan County Sheriff's Office,NM0240000,16713,1544,1949,19835,1791,2332,466,27,83,0,0,0,2362,188,283,233,19,24,13321,396,2218,4787,199,690,28185,524,4835,2362,188,283,46293,1119,7743,36.825977,-108.02076
New Mexico,SAN JUAN,Aztec Police Department,NM0240100,2084,132,243,2664,157,312,246,7,37,0,0,0,399,21,45,18,1,1,2368,45,398,924,26,130,7502,150,1266,399,21,45,10794,221,1794,36.822765,-107.9963
New Mexico,SAN JUAN,Farmington Police Department,NM0240200,16541,658,2843,21574,724,3826,679,6,126,0,0,0,3216,29,616,152,1,28,20466,131,3599,5408,21,997,53237,1907,10280,3216,29,616,79111,2059,14876,36.73906,-108.215805
New Mexico,SAN JUAN,Bloomfield Police Department,NM0240300,4212,191,547,4753,215,641,73,4,11,0,0,0,441,22,78,17,1,3,2244,16,397,405,2,66,6721,251,1066,441,22,78,9370,269,1529,36.71903,-107.97912
New Mexico,SAN MIGUEL,San Miguel County Sheriff's Office,NM0250000,13,1,8,17,2,10,2,0,1,0,0,0,0,0,0,0,0,0,38,0,22,11,2,8,21,0,12,0,0,0,70,2,42,35.476876,-104.803515
New Mexico,SAN MIGUEL,Las Vegas Police Department,NM0250100,7114,377,1024,8554,425,1245,429,15,64,0,0,0,552,8,91,107,6,16,8768,139,1488,1668,17,252,16596,315,2763,552,8,91,27032,471,4503,35.591564,-105.22732
