State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Colorado,Lincoln,60,22,33,46,42,41,23,747
Colorado,Logan,60,28,36,43,26,31,37,749
Colorado,Mesa,60,41,34,34,14,43,30,751
Colorado,Mineral,60,NR,NR,NR,NR,NR,NR,757
Colorado,Moffat,60,42,35,39,47,48,6,758
Colorado,Montezuma,60,51,45,48,37,49,45,766
Colorado,Montrose,60,43,38,31,25,42,47,769
Colorado,Morgan,60,50,31,53,38,44,15,775
Colorado,Otero,60,59,53,59,46,56,49,777
Colorado,Ouray,60,30,16,7,5,10,11,780
Colorado,Park,60,25,23,12,33,20,21,782
Colorado,Phillips,60,30,15,29,49,12,14,785
Colorado,Pitkin,60,1,3,2,9,8,5,789
Colorado,Prowers,60,49,44,55,55,45,40,792
Colorado,Pueblo,60,55,51,56,18,55,51,795
Colorado,Rio Blanco,60,18,30,26,35,35,18,799
Colorado,Rio Grande,60,54,50,37,54,51,10,802
Colorado,Routt,60,7,8,13,4,3,35,809
Colorado,Saguache,60,57,58,40,60,58,16,811
Colorado,San Juan,60,NR,NR,NR,NR,NR,NR,347
Colorado,San Miguel,60,30,4,9,15,22,9,359
Colorado,Sedgwick,60,30,29,41,59,40,2,366
Colorado,Summit,60,4,18,8,12,5,46,373
Colorado,Teller,60,29,43,22,29,17,44,375
Colorado,Washington,60,48,26,50,48,24,8,377
Colorado,Weld,60,20,22,28,20,28,59,382
Colorado,Yuma,60,21,27,35,53,18,20,385
Connecticut,Fairfield,8,1,3,1,5,4,8,410
Connecticut,Hartford,8,4,6,5,2,6,5,432
Connecticut,Litchfield,8,7,1,4,3,3,3,443
Connecticut,Middlesex,8,3,2,2,1,1,7,450
Connecticut,New Haven,8,5,8,6,6,8,2,466
Connecticut,New London,8,6,5,8,7,5,1,517
Connecticut,Tolland,8,2,4,3,4,2,4,524
Connecticut,Windham,8,8,7,7,8,7,6,529
Delaware,Kent,3,3,3,3,3,3,2,532
Delaware,New Castle,3,1,2,1,1,1,1,536
Delaware,Sussex,3,2,1,2,2,2,3,609
District of Columbia,District of Columbia,1,1,1,1,1,1,1,630
Florida,Alachua,67,12,35,18,1,16,18,639
Florida,Baker,67,48,54,58,38,32,28,641
Florida,Bay,67,43,38,33,34,33,27,658
Florida,Bradford,67,54,63,52,49,55,42,665
Florida,Brevard,67,39,20,17,16,12,11,686
Florida,Broward,67,5,25,4,31,18,64,695
Florida,Calhoun,67,40,48,50,59,56,15,699
Florida,Charlotte,67,26,26,21,10,29,40,743
Florida,Citrus,67,65,34,39,24,58,4,843
Florida,Clay,67,21,22,29,20,7,48,852
Florida,Collier,67,3,2,3,15,17,12,894
Florida,Columbia,67,61,56,51,33,38,23,903
Florida,DeSoto,67,28,45,49,62,60,1,906
Florida,Dixie,67,58,62,67,56,63,3,918
Florida,Duval,67,49,41,25,17,30,46,924
Florida,Escambia,67,51,40,31,21,28,2,931
Florida,Flagler,67,27,15,16,14,26,44,935
Florida,Franklin,67,34,39,48,44,46,26,937
Florida,Gadsden,67,52,66,60,46,61,57,938
Florida,Gilchrist,67,42,46,57,57,39,7,939
Florida,Glades,67,44,49,59,64,59,14,940
Florida,Gulf,67,57,8,40,40,53,36,941
Florida,Hamilton,67,41,59,66,55,66,29,942
Florida,Hardee,67,22,53,47,61,65,17,943
Florida,Hendry,67,33,51,45,66,67,9,944
Florida,Hernando,67,36,37,34,32,40,19,945
Florida,Highlands,67,50,36,38,42,50,21,946
Florida,Hillsborough,67,9,19,12,27,19,65,947
Florida,Holmes,67,56,60,63,43,51,33,948
Florida,Indian River,67,14,12,22,8,34,6,949
Florida,Jackson,67,63,50,46,51,45,52,950
Florida,Jefferson,67,45,57,37,47,52,51,951
Florida,Lafayette,67,24,43,42,65,36,45,952
Florida,Lake,67,30,30,20,5,20,39,953
Florida,Lee,67,16,13,14,13,23,5,954
Florida,Leon,67,8,28,28,9,13,16,955
Florida,Levy,67,60,55,44,52,57,58,956
Florida,Liberty,67,31,42,62,54,44,13,957
Florida,Madison,67,53,67,55,50,62,56,958
Florida,Manatee,67,19,7,15,22,25,50,959
Florida,Marion,67,59,47,35,29,47,53,960
Florida,Martin,67,11,4,9,7,11,37,961
Florida,Miami-Dade,67,1,17,1,60,24,63,962
Florida,Monroe,67,13,3,7,28,3,8,963
Florida,Nassau,67,38,11,26,4,6,47,964
Florida,Okaloosa,67,23,9,23,18,5,32,965
Florida,Okeechobee,67,62,44,54,67,49,25,966
Florida,Orange,67,6,18,8,30,14,54,967
Florida,Osceola,67,7,27,11,45,21,67,968
Florida,Palm Beach,67,10,14,6,6,22,43,969
Florida,Pasco,67,35,29,27,25,27,61,970
Florida,Pinellas,67,29,10,19,11,15,10,971
Florida,Polk,67,25,33,36,35,37,41,972
Florida,Putnam,67,66,65,65,53,64,62,973
Florida,St. Johns,67,2,1,2,2,1,24,974
Florida,St. Lucie,67,18,31,24,41,35,49,975
Florida,Santa Rosa,67,17,23,30,26,4,38,976
Florida,Sarasota,67,15,6,10,3,8,34,977
Florida,Seminole,67,4,5,5,19,2,31,978
Florida,Sumter,67,37,16,13,12,48,30,979
Florida,Suwannee,67,47,52,53,58,41,55,980
Florida,Taylor,67,55,61,56,48,54,35,981
Florida,Union,67,67,64,64,37,42,20,982
Florida,Volusia,67,46,32,32,23,31,22,983
Florida,Wakulla,67,32,24,43,36,10,59,984
Florida,Walton,67,20,21,41,39,9,60,985
Florida,Washington,67,64,58,61,63,43,66,986
Georgia,Appling,159,92,121,148,148,101,16,987
Georgia,Atkinson,159,153,90,141,157,134,20,988
Georgia,Bacon,159,108,113,147,159,96,9,989
Georgia,Baker,159,74,88,111,118,146,90,990
Georgia,Baldwin,159,109,111,82,50,97,134,991
Georgia,Banks,159,87,45,61,131,46,71,992
Georgia,Barrow,159,61,28,38,110,20,154,993
Georgia,Bartow,159,45,35,41,91,38,113,994
Georgia,Ben Hill,159,135,151,158,133,140,67,995
Georgia,Berrien,159,134,137,129,147,99,33,996
Georgia,Bibb,159,132,115,78,10,93,104,997
Georgia,Bleckley,159,34,42,75,56,84,85,998
Georgia,Brantley,159,143,112,139,149,109,42,999
Georgia,Brooks,159,106,108,79,143,87,83,565
Georgia,Bryan,159,32,10,31,11,9,106,573
Georgia,Bulloch,159,27,73,46,70,33,146,579
Georgia,Burke,159,150,138,131,98,148,108,583
Georgia,Butts,159,112,99,97,78,74,119,588
