State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Missouri,Mississippi,115,112,113,114,101,113,77,1131
Missouri,Moniteau,115,16,13,63,51,26,11,1135
Missouri,Monroe,115,30,51,70,57,55,80,1139
Missouri,Montgomery,115,99,58,23,38,64,86,1142
Missouri,Morgan,115,77,90,69,90,100,72,1146
Missouri,New Madrid,115,109,112,110,108,108,88,1149
Missouri,Newton,115,58,42,45,61,31,65,1152
Missouri,Nodaway,115,2,35,27,16,15,25,1156
Missouri,Oregon,115,98,104,92,95,96,73,1158
Missouri,Osage,115,25,9,3,10,5,10,1164
Missouri,Ozark,115,95,107,99,99,109,98,1168
Missouri,Pemiscot,115,115,115,112,110,115,104,1170
Missouri,Perry,115,18,15,28,54,13,106,1172
Missouri,Pettis,115,26,46,85,83,52,32,1174
Missouri,Phelps,115,75,43,18,32,50,90,1176
Missouri,Pike,115,56,57,76,75,77,46,1179
Missouri,Platte,115,5,1,1,4,2,100,1181
Missouri,Polk,115,33,23,36,41,66,87,1183
Missouri,Pulaski,115,35,17,26,43,27,15,1185
Missouri,Putnam,115,82,71,32,73,43,1,1188
Missouri,Ralls,115,3,62,16,60,32,41,1191
Missouri,Randolph,115,76,75,87,53,61,53,1194
Missouri,Ray,115,57,27,50,80,42,34,1197
Missouri,Reynolds,115,102,93,95,81,93,26,1200
Missouri,Ripley,115,114,111,111,115,110,102,1203
Missouri,St. Charles,115,6,2,4,5,1,99,1205
Missouri,St. Clair,115,17,54,84,94,92,95,1208
Missouri,Ste. Genevieve,115,11,56,34,50,11,56,1209
Missouri,St. Francois,115,88,83,106,15,69,108,1212
Missouri,St. Louis County,115,39,12,2,2,14,79,1216
Missouri,Saline,115,32,87,53,20,49,47,1218
Missouri,Schuyler,115,12,89,102,33,68,59,1221
Missouri,Scotland,115,19,68,88,76,76,19,1224
Missouri,Scott,115,83,98,101,34,85,113,1227
Missouri,Shannon,115,104,106,81,91,112,29,1229
Missouri,Shelby,115,71,67,15,64,19,6,1232
Missouri,Stoddard,115,64,96,96,89,91,83,1236
Missouri,Stone,115,96,65,29,52,86,52,1237
Missouri,Sullivan,115,90,95,43,86,78,13,1240
Missouri,Taney,115,72,73,39,59,80,51,1242
Missouri,Texas,115,51,94,103,105,88,57,1245
Missouri,Vernon,115,84,40,61,62,74,9,1248
Missouri,Warren,115,40,24,48,31,33,107,1251
Missouri,Washington,115,105,108,100,103,107,101,1253
Missouri,Wayne,115,103,109,113,114,111,36,1256
Missouri,Webster,115,34,45,73,79,73,70,1258
Missouri,Worth,115,59,76,46,30,28,7,1261
Missouri,Wright,115,108,99,91,96,106,60,1263
Missouri,St. Louis City,115,113,105,107,37,104,109,1266
Montana,Beaverhead,48,3,27,9,1,14,35,1269
Montana,Big Horn,48,48,46,46,48,48,36,1274
Montana,Blaine,48,44,45,45,44,40,40,1124
Montana,Broadwater,48,26,1,14,22,23,25,1132
Montana,Carbon,48,10,3,6,16,18,20,1137
Montana,Carter,48,NR,NR,NR,NR,NR,NR,1141
Montana,Cascade,48,19,34,22,8,26,32,1144
Montana,Chouteau,48,7,37,32,27,24,17,1150
Montana,Custer,48,15,15,20,10,16,9,1153
Montana,Daniels,48,26,19,12,38,9,8,1157
Montana,Dawson,48,5,8,24,12,15,28,1160
Montana,Deer Lodge,48,40,43,30,15,36,26,1163
Montana,Fallon,48,26,16,36,17,2,6,1165
Montana,Fergus,48,9,9,25,14,22,22,1169
Montana,Flathead,48,8,6,10,7,21,29,1173
Montana,Gallatin,48,1,7,1,5,1,43,1177
Montana,Garfield,48,NR,NR,NR,NR,NR,NR,1182
Montana,Glacier,48,46,48,47,46,47,24,1186
Montana,Golden Valley,48,NR,NR,NR,NR,NR,NR,1189
Montana,Granite,48,26,12,7,33,35,10,1192
Montana,Hill,48,21,39,44,21,33,18,1195
Montana,Jefferson,48,18,11,4,11,13,33,1199
Montana,Judith Basin,48,26,18,21,18,25,3,1202
Montana,Lake,48,43,40,38,37,39,41,1207
Montana,Lewis and Clark,48,12,13,3,4,7,42,1211
Montana,Liberty,48,NR,NR,NR,NR,NR,NR,1214
Montana,Lincoln,48,14,30,18,30,44,45,1219
Montana,McCone,48,26,20,28,29,5,7,1223
Montana,Madison,48,4,5,5,39,3,19,1226
Montana,Meagher,48,26,28,26,40,31,4,1231
Montana,Mineral,48,26,35,31,32,43,47,1234
Montana,Missoula,48,6,14,2,2,8,48,1239
Montana,Musselshell,48,26,41,27,31,41,27,1241
Montana,Park,48,13,26,11,23,11,37,1244
Montana,Petroleum,48,NR,NR,NR,NR,NR,NR,1247
Montana,Phillips,48,26,24,42,47,30,5,1250
Montana,Pondera,48,20,32,37,34,29,30,1254
Montana,Powder River,48,NR,NR,NR,NR,NR,NR,1259
Montana,Powell,48,17,21,41,24,37,16,1262
Montana,Prairie,48,26,23,35,25,34,1,1264
Montana,Ravalli,48,11,22,15,28,27,46,1268
Montana,Richland,48,23,2,29,6,6,21,1271
Montana,Roosevelt,48,47,47,48,45,46,14,1275
Montana,Rosebud,48,45,42,43,41,38,34,1277
Montana,Sanders,48,42,38,39,42,42,38,1278
Montana,Sheridan,48,26,17,23,19,12,12,1281
Montana,Silver Bow,48,25,36,19,9,32,39,1284
Montana,Stillwater,48,2,25,8,20,4,15,1286
Montana,Sweet Grass,48,26,4,13,35,10,13,1288
Montana,Teton,48,22,31,17,26,20,11,1290
Montana,Toole,48,24,44,40,36,28,31,1292
Montana,Treasure,48,NR,NR,NR,NR,NR,NR,1293
Montana,Valley,48,41,10,33,13,17,23,1296
Montana,Wheatland,48,26,33,34,43,45,2,1298
Montana,Wibaux,48,NR,NR,NR,NR,NR,NR,1300
Montana,Yellowstone,48,16,29,16,3,19,44,1302
Nebraska,Adams,79,65,49,51,9,52,70,1303
Nebraska,Antelope,79,10,23,23,53,21,24,1305
Nebraska,Arthur,79,NR,NR,NR,NR,NR,NR,1307
Nebraska,Banner,79,NR,NR,NR,NR,NR,NR,1308
Nebraska,Blaine,79,NR,NR,NR,NR,NR,NR,1309
Nebraska,Boone,79,31,28,53,23,11,23,1310
Nebraska,Box Butte,79,68,69,46,33,53,4,1315
Nebraska,Boyd,79,31,45,62,60,59,3,1317
Nebraska,Brown,79,31,67,75,32,66,5,1319
Nebraska,Buffalo,79,9,34,6,14,26,46,1321
Nebraska,Burt,79,69,58,67,45,56,58,1323
Nebraska,Butler,79,57,31,40,15,13,55,1325
Nebraska,Cass,79,12,25,57,29,25,77,1326
Nebraska,Cedar,79,22,1,9,47,5,50,1329
Nebraska,Chase,79,31,16,24,77,17,47,1330
Nebraska,Cherry,79,67,39,50,70,24,1,1333
Nebraska,Cheyenne,79,59,55,22,34,55,14,1334
Nebraska,Clay,79,63,60,68,38,51,65,1336
Nebraska,Colfax,79,28,47,52,50,68,51,1338
Nebraska,Cuming,79,13,12,19,42,23,44,1340
Nebraska,Custer,79,14,38,48,52,28,43,1342
Nebraska,Dakota,79,19,51,35,74,78,52,1344
Nebraska,Dawes,79,62,18,8,24,31,10,1347
Nebraska,Dawson,79,20,46,38,69,73,33,1349
Nebraska,Deuel,79,31,48,33,68,47,19,1351
Nebraska,Dixon,79,5,9,41,57,32,76,1353
Nebraska,Dodge,79,71,72,60,21,45,57,1354
Nebraska,Douglas,79,29,68,39,3,61,74,1358
Nebraska,Dundy,79,31,76,77,76,60,25,1360
Nebraska,Fillmore,79,31,8,45,17,14,35,1363
Nebraska,Franklin,79,31,42,56,49,64,30,1369
Nebraska,Frontier,79,31,20,66,67,38,15,1371
Nebraska,Furnas,79,31,44,37,65,46,31,1374
Nebraska,Gage,79,73,54,70,13,70,71,1378
Nebraska,Garden,79,31,29,17,78,29,11,1381
Nebraska,Garfield,79,31,65,12,58,3,7,1391
Nebraska,Gosper,79,NR,NR,NR,NR,NR,NR,1393
Nebraska,Grant,79,NR,NR,NR,NR,NR,NR,1395
Nebraska,Greeley,79,31,73,72,61,43,13,1397
Nebraska,Hall,79,64,64,29,25,74,45,1402
Nebraska,Hamilton,79,2,2,5,5,12,27,1405
Nebraska,Harlan,79,31,63,30,37,30,21,1409
Nebraska,Hayes,79,NR,NR,NR,NR,NR,NR,1411
Nebraska,Hitchcock,79,31,66,78,73,72,18,1414
Nebraska,Holt,79,15,6,13,64,22,16,1416
Nebraska,Hooker,79,NR,NR,NR,NR,NR,NR,1418
Nebraska,Howard,79,30,17,58,43,40,41,1311
Nebraska,Jefferson,79,7,59,59,30,50,62,1312
Nebraska,Johnson,79,70,62,71,62,75,53,1313
Nebraska,Kearney,79,21,27,16,27,1,38,1314
Nebraska,Keith,79,75,75,34,40,65,20,1316
Nebraska,Keya Paha,79,NR,NR,NR,NR,NR,NR,1318
Nebraska,Kimball,79,78,78,73,72,69,17,1320
Nebraska,Knox,79,27,22,44,35,44,39,1322
Nebraska,Lancaster,79,17,26,11,4,27,78,1324
Nebraska,Lincoln,79,60,50,69,55,54,67,1327
Nebraska,Logan,79,NR,NR,NR,NR,NR,NR,1328
Nebraska,Loup,79,NR,NR,NR,NR,NR,NR,1331
Nebraska,McPherson,79,NR,NR,NR,NR,NR,NR,1332
Nebraska,Madison,79,61,40,31,18,35,48,1335
Nebraska,Merrick,79,58,24,64,36,34,42,1337
Nebraska,Morrill,79,31,74,54,71,58,6,1339
Nebraska,Nance,79,31,43,74,66,42,29,1341
Nebraska,Nemaha,79,66,19,36,22,62,73,1343
Nebraska,Nuckolls,79,31,37,43,7,33,9,1345
Nebraska,Otoe,79,6,32,32,20,37,61,1348
Nebraska,Pawnee,79,31,71,65,56,77,63,1350
Nebraska,Perkins,79,31,41,2,54,9,8,1352
Nebraska,Phelps,79,11,15,26,10,18,34,1355
Nebraska,Pierce,79,26,10,10,26,8,37,1356
Nebraska,Platte,79,18,11,7,12,41,69,1359
Nebraska,Polk,79,31,3,14,28,16,64,1362
Nebraska,Red Willow,79,23,52,42,41,36,36,1364
Nebraska,Richardson,79,72,57,76,63,48,49,1365
Nebraska,Rock,79,31,33,47,31,39,2,1366
Nebraska,Saline,79,24,70,55,51,67,66,1367
Nebraska,Sarpy,79,4,4,1,11,4,68,1368
Nebraska,Saunders,79,8,21,25,16,7,72,1370
Nebraska,Scotts Bluff,79,74,77,27,48,76,32,1373
Nebraska,Seward,79,16,14,3,39,6,75,1375
Nebraska,Sheridan,79,77,56,63,79,63,12,1376
Nebraska,Sherman,79,31,61,61,59,57,40,1377
Nebraska,Sioux,79,NR,NR,NR,NR,NR,NR,1380
Nebraska,Stanton,79,31,36,28,8,2,54,1382
Nebraska,Thayer,79,76,35,21,46,19,28,1383
Nebraska,Thomas,79,NR,NR,NR,NR,NR,NR,1384
Nebraska,Thurston,79,78,79,79,75,79,60,1385
Nebraska,Valley,79,31,30,15,6,49,22,1386
Nebraska,Washington,79,3,7,4,1,15,79,1387
Nebraska,Wayne,79,1,5,18,2,10,56,1388
Nebraska,Webster,79,31,53,49,44,71,26,1389
Nebraska,Wheeler,79,NR,NR,NR,NR,NR,NR,1390
Nebraska,York,79,25,13,20,19,20,59,1392
Nevada,Churchill,16,14,4,11,8,6,14,1396
Nevada,Clark,16,5,10,3,9,12,16,1399
Nevada,Douglas,16,3,2,1,1,2,10,1400
Nevada,Elko,16,6,9,10,7,5,2,1401
Nevada,Esmeralda,16,NR,NR,NR,NR,NR,NR,1404
Nevada,Eureka,16,9,6,6,6,1,1,1406
Nevada,Humboldt,16,11,5,13,15,7,7,1407
Nevada,Lander,16,12,15,9,11,10,5,1408
Nevada,Lincoln,16,1,1,7,14,9,4,1410
Nevada,Lyon,16,7,13,12,10,13,11,1412
Nevada,Mineral,16,16,16,16,13,14,8,1415
Nevada,Nye,16,15,14,15,12,16,13,1417
Nevada,Pershing,16,2,7,14,16,15,6,1419
Nevada,Storey,16,9,3,4,4,3,12,1420
Nevada,Washoe,16,4,8,2,2,4,15,1423
Nevada,White Pine,16,8,11,8,3,8,3,1425
Nevada,Carson City,16,13,12,5,5,11,9,1428
New Hampshire,Belknap,10,10,8,5,5,7,3,1432
New Hampshire,Carroll,10,9,3,6,8,8,8,1435
New Hampshire,Cheshire,10,6,2,7,4,5,5,1437
New Hampshire,Coos,10,8,10,10,10,10,1,1440
New Hampshire,Grafton,10,2,6,2,3,3,2,1442
New Hampshire,Hillsborough,10,5,5,4,6,6,4,1443
New Hampshire,Merrimack,10,4,4,3,1,2,9,1444
New Hampshire,Rockingham,10,1,1,1,2,1,7,1448
New Hampshire,Strafford,10,7,7,8,9,4,10,1453
New Hampshire,Sullivan,10,3,9,9,7,9,6,1454
New Jersey,Atlantic,21,18,16,19,16,18,8,1461
New Jersey,Bergen,21,1,5,3,4,4,19,1465
New Jersey,Burlington,21,12,12,11,6,7,20,1470
New Jersey,Camden,21,17,17,17,13,15,21,1472
New Jersey,Cape May,21,19,9,18,8,17,6,1477
New Jersey,Cumberland,21,21,21,21,20,21,13,1482
New Jersey,Essex,21,15,20,14,17,20,18,1483
New Jersey,Gloucester,21,16,14,16,14,10,9,1484
New Jersey,Hudson,21,6,15,7,21,14,1,1487
New Jersey,Hunterdon,21,4,2,2,3,1,11,1488
New Jersey,Mercer,21,10,13,8,9,12,7,1493
New Jersey,Middlesex,21,5,8,5,7,9,12,1497
New Jersey,Monmouth,21,8,6,10,5,6,14,1504
New Jersey,Morris,21,2,1,1,1,2,2,1511
New Jersey,Ocean,21,14,7,15,11,11,5,1546
New Jersey,Passaic,21,9,19,12,18,19,16,1551
New Jersey,Salem,21,20,18,20,19,16,3,1553
New Jersey,Somerset,21,3,3,4,2,3,17,1558
New Jersey,Sussex,21,13,4,6,10,5,15,1561
New Jersey,Union,21,7,11,9,15,13,10,1566
New Jersey,Warren,21,11,10,13,12,8,4,1570
New Mexico,Bernalillo,32,7,9,3,2,8,31,1574
New Mexico,Catron,32,17,7,28,6,25,1,1576
New Mexico,Chaves,32,20,19,26,21,18,23,1578
New Mexico,Cibola,32,28,30,31,22,28,15,1580
New Mexico,Colfax,32,22,29,10,5,9,8,1582
New Mexico,Curry,32,9,14,23,16,7,22,1586
New Mexico,De Baca,32,17,22,25,24,15,5,1589
New Mexico,Dona Ana,32,3,12,7,18,20,32,
New Mexico,Eddy,32,25,2,21,17,4,26,1592
New Mexico,Grant,32,12,11,11,4,12,16,1594
New Mexico,Guadalupe,32,27,3,16,12,19,9,1595
New Mexico,Harding,32,NR,NR,NR,NR,NR,NR,1597
New Mexico,Hidalgo,32,6,31,8,19,23,12,1600
New Mexico,Lea,32,15,15,17,31,13,18,1604
New Mexico,Lincoln,32,21,6,9,25,5,10,1613
New Mexico,Los Alamos,32,1,1,1,1,1,3,1618
New Mexico,Luna,32,11,26,29,30,32,21,1622
New Mexico,McKinley,32,32,32,32,29,31,25,1626
New Mexico,Mora,32,17,13,5,8,14,11,1629
New Mexico,Otero,32,8,16,22,13,10,17,1633
New Mexico,Quay,32,26,10,14,15,22,7,1637
New Mexico,Rio Arriba,32,31,28,12,14,24,24,1639
New Mexico,Roosevelt,32,14,4,20,32,11,19,1642
New Mexico,Sandoval,32,5,8,6,7,2,28,1646
New Mexico,San Juan,32,29,20,30,23,21,30,1650
New Mexico,San Miguel,32,23,27,13,9,26,14,1652
New Mexico,Santa Fe,32,4,17,2,3,3,20,1654
New Mexico,Sierra,32,30,18,24,27,30,13,1657
New Mexico,Socorro,32,16,25,27,11,29,4,1659
New Mexico,Taos,32,13,23,4,10,16,6,1662
New Mexico,Torrance,32,24,24,19,26,27,27,1664
New Mexico,Union,32,2,5,15,28,6,2,1667
New Mexico,Valencia,32,10,21,18,20,17,29,1670
New York,Albany,62,17,15,13,5,7,6,1673
New York,Allegany,62,53,33,47,54,53,40,1674
New York,Bronx,62,39,62,28,62,62,57,1681
New York,Broome,62,47,47,35,16,48,21,1683
New York,Cattaraugus,62,55,61,60,59,51,24,1687
New York,Cayuga,62,28,27,46,42,41,42,1689
New York,Chautauqua,62,52,52,54,23,50,28,1694
New York,Chemung,62,62,43,51,30,36,43,1696
New York,Chenango,62,57,38,45,36,43,12,1699
New York,Clinton,62,23,49,41,29,38,27,1702
New York,Columbia,62,38,8,19,35,11,19,1704
New York,Cortland,62,44,53,36,25,34,5,1706
New York,Delaware,62,46,40,39,39,47,16,1707
New York,Dutchess,62,15,18,10,22,8,60,1711
New York,Erie,62,40,55,26,15,30,47,1723
New York,Essex,62,13,28,17,14,29,1,1728
New York,Franklin,62,22,51,62,50,57,11,1731
New York,Fulton,62,42,58,53,40,59,39,1734
New York,Genesee,62,54,20,42,44,12,51,1736
New York,Greene,62,61,48,40,55,52,56,1739
New York,Hamilton,62,30,14,24,18,55,2,1742
New York,Herkimer,62,26,32,56,41,37,30,1745
New York,Jefferson,62,43,11,61,21,49,31,1782
New York,Kings,62,8,39,9,60,56,48,1788
New York,Lewis,62,45,24,58,20,46,22,1790
New York,Livingston,62,24,16,29,33,20,53,1791
New York,Madison,62,9,19,23,27,16,33,1796
New York,Monroe,62,33,46,20,17,31,8,1804
New York,Montgomery,62,50,57,52,53,58,18,1807
New York,Nassau,62,2,6,1,1,2,61,1839
New York,New York,62,1,26,3,2,23,35,1847
New York,Niagara,62,48,56,34,49,44,45,1850
New York,Oneida,62,49,54,33,26,39,32,1852
New York,Onondaga,62,29,41,22,8,24,14,1853
New York,Ontario,62,20,5,16,11,5,46,1856
New York,Orange,62,14,10,15,34,22,55,1859
New York,Orleans,62,59,60,57,58,45,25,1862
New York,Oswego,62,51,45,55,37,61,15,1864
New York,Otsego,62,27,17,27,12,21,9,1868
New York,Putnam,62,6,2,5,9,3,54,1870
New York,Queens,62,4,30,6,61,28,37,1872
New York,Rensselaer,62,31,37,31,28,10,20,1874
New York,Richmond,62,11,35,11,31,25,38,1876
New York,Rockland,62,5,4,4,10,14,58,1879
New York,St. Lawrence,62,37,44,48,38,60,23,1883
New York,Saratoga,62,7,3,12,6,1,49,1885
New York,Schenectady,62,36,42,18,13,26,52,1887
New York,Schoharie,62,21,22,32,24,32,41,1888
New York,Schuyler,62,25,12,37,46,42,13,1889
New York,Seneca,62,58,23,59,52,40,3,1890
New York,Steuben,62,34,34,38,32,33,7,1891
New York,Suffolk,62,12,13,7,19,6,36,1924
New York,Sullivan,62,60,59,49,56,54,34,1928
New York,Tioga,62,16,25,30,47,13,26,1930
New York,Tompkins,62,10,7,8,4,4,4,1933
New York,Ulster,62,19,29,14,43,17,59,1935
New York,Warren,62,35,21,25,3,15,10,1938
New York,Washington,62,32,50,50,48,27,50,1942
New York,Wayne,62,41,36,43,57,19,17,1952
New York,Westchester,62,3,9,2,7,9,62,1960
New York,Wyoming,62,18,31,44,51,18,44,1962
New York,Yates,62,56,1,21,45,35,29,1965
North Carolina,Alamance,100,34,44,46,46,45,76,1967
North Carolina,Alexander,100,45,46,74,50,28,53,1968
North Carolina,Alleghany,100,55,80,73,80,80,7,1970
North Carolina,Anson,100,94,96,92,93,86,61,1972
North Carolina,Ashe,100,11,37,27,65,34,2,1975
North Carolina,Avery,100,24,59,21,87,36,27,1977
North Carolina,Beaufort,100,82,70,64,17,75,79,1981
North Carolina,Bertie,100,73,92,91,76,87,41,1983
North Carolina,Bladen,100,85,85,89,99,83,75,1986
North Carolina,Brunswick,100,42,18,26,18,52,8,1995
North Carolina,Buncombe,100,22,19,6,2,6,59,1422
North Carolina,Burke,100,68,49,62,19,61,70,1424
North Carolina,Cabarrus,100,13,11,16,20,4,94,1426
North Carolina,Caldwell,100,50,75,87,42,48,44,1429
North Carolina,Camden,100,4,13,20,44,17,15,1433
North Carolina,Carteret,100,41,16,17,27,21,34,1447
North Carolina,Caswell,100,84,69,40,88,74,100,1449
North Carolina,Catawba,100,31,26,33,16,22,56,1450
North Carolina,Chatham,100,9,12,3,11,16,86,1451
North Carolina,Cherokee,100,90,55,43,66,68,20,1452
North Carolina,Chowan,100,91,74,82,9,77,67,1455
North Carolina,Clay,100,75,34,30,45,55,69,1457
North Carolina,Cleveland,100,79,78,79,74,67,81,1458
North Carolina,Columbus,100,93,89,94,91,88,49,1459
North Carolina,Craven,100,64,21,31,7,32,40,1462
North Carolina,Cumberland,100,61,57,44,40,63,73,1464
North Carolina,Currituck,100,14,9,13,68,5,22,1481
North Carolina,Dare,100,15,1,7,25,10,4,1485
North Carolina,Davidson,100,49,56,41,64,40,90,1489
North Carolina,Davie,100,20,20,35,23,18,32,1490
North Carolina,Duplin,100,36,82,83,98,78,28,1492
North Carolina,Durham,100,7,8,4,6,26,37,1494
North Carolina,Edgecombe,100,97,97,95,51,96,91,1495
North Carolina,Forsyth,100,28,39,19,10,41,12,1496
North Carolina,Franklin,100,37,41,55,69,33,66,1498
North Carolina,Gaston,100,59,52,49,34,35,92,1499
North Carolina,Gates,100,96,45,71,60,44,57,1500
North Carolina,Graham,100,70,63,72,92,76,11,1502
North Carolina,Granville,100,25,43,56,41,38,98,1503
North Carolina,Greene,100,27,87,68,96,79,51,1505
North Carolina,Guilford,100,30,30,23,15,42,29,1506
North Carolina,Halifax,100,92,98,98,62,97,63,1508
North Carolina,Harnett,100,39,42,37,89,47,82,1509
North Carolina,Haywood,100,48,31,22,26,20,36,1512
North Carolina,Henderson,100,16,7,11,12,13,13,1514
North Carolina,Hertford,100,52,84,96,33,84,50,1515
North Carolina,Hoke,100,56,64,78,90,58,65,1517
North Carolina,Hyde,100,60,32,84,78,93,3,1521
North Carolina,Iredell,100,21,15,28,24,8,60,1525
North Carolina,Jackson,100,38,35,29,52,39,87,1528
North Carolina,Johnston,100,12,29,34,67,19,71,1530
North Carolina,Jones,100,83,62,80,49,82,55,1536
North Carolina,Lee,100,69,65,38,75,53,52,1540
North Carolina,Lenoir,100,89,86,85,86,85,17,1542
North Carolina,Lincoln,100,26,25,39,29,12,83,1545
North Carolina,McDowell,100,43,73,66,55,30,35,1554
North Carolina,Macon,100,44,38,25,37,31,38,1556
North Carolina,Madison,100,33,33,48,35,25,18,1560
North Carolina,Martin,100,81,90,81,54,81,19,1563
North Carolina,Mecklenburg,100,6,5,5,22,11,30,1565
North Carolina,Mitchell,100,63,27,15,38,60,14,1568
North Carolina,Montgomery,100,51,81,58,63,70,62,1573
North Carolina,Moore,100,23,14,12,3,14,74,1584
North Carolina,Nash,100,74,48,50,36,72,89,1588
North Carolina,New Hanover,100,19,10,18,5,15,21,1602
North Carolina,Northampton,100,67,91,97,83,89,45,1606
North Carolina,Onslow,100,35,17,60,28,24,1,1625
North Carolina,Orange,100,2,3,1,1,2,6,1630
North Carolina,Pamlico,100,88,47,70,14,62,5,1703
North Carolina,Pasquotank,100,46,53,61,32,59,25,1714
North Carolina,Pender,100,47,22,24,47,29,72,1718
North Carolina,Perquimans,100,32,23,52,53,66,31,1724
North Carolina,Person,100,76,68,53,30,54,80,1729
North Carolina,Pitt,100,29,51,36,13,51,39,1733
North Carolina,Polk,100,18,6,10,39,9,33,1738
North Carolina,Randolph,100,71,36,45,72,46,48,1741
North Carolina,Richmond,100,87,95,93,70,94,99,1744
North Carolina,Robeson,100,99,100,100,100,99,97,1747
North Carolina,Rockingham,100,78,71,65,79,71,88,1751
North Carolina,Rowan,100,65,61,51,48,50,58,1754
North Carolina,Rutherford,100,53,60,59,59,69,64,1764
North Carolina,Sampson,100,54,76,77,95,64,68,1769
North Carolina,Scotland,100,95,99,99,73,100,84,1772
North Carolina,Stanly,100,80,54,32,58,27,96,1775
North Carolina,Stokes,100,40,40,57,71,49,95,1777
North Carolina,Surry,100,77,66,54,81,56,46,1780
North Carolina,Swain,100,100,79,75,94,73,26,1784
North Carolina,Transylvania,100,17,28,14,21,23,16,1786
North Carolina,Tyrrell,100,8,58,69,84,98,9,1794
North Carolina,Union,100,3,4,8,31,3,54,1798
North Carolina,Vance,100,98,94,88,85,95,93,1801
North Carolina,Wake,100,1,2,2,4,1,85,1805
North Carolina,Warren,100,57,88,86,97,91,43,1809
North Carolina,Washington,100,86,93,90,56,92,10,1811
North Carolina,Watauga,100,5,24,9,8,7,24,1813
North Carolina,Wayne,100,66,67,67,77,65,77,1814
North Carolina,Wilkes,100,62,77,76,57,57,42,1817
North Carolina,Wilson,100,72,83,63,82,90,47,1819
North Carolina,Yadkin,100,58,72,47,61,37,78,1821
North Carolina,Yancey,100,10,50,42,43,43,23,1823
North Dakota,Adams,46,20,16,4,4,15,2,1826
North Dakota,Barnes,46,11,15,7,11,30,34,1828
North Dakota,Benson,46,45,44,46,35,44,38,1831
North Dakota,Billings,46,NR,NR,NR,NR,NR,NR,1833
North Dakota,Bottineau,46,42,5,37,23,26,20,1836
North Dakota,Bowman,46,20,26,2,29,9,10,1838
North Dakota,Burke,46,20,12,32,16,2,1,1841
North Dakota,Burleigh,46,2,8,1,2,3,33,1844
North Dakota,Cass,46,5,19,3,7,4,36,1848
North Dakota,Cavalier,46,20,42,27,9,16,17,1849
North Dakota,Dickey,46,20,3,22,27,6,12,2004
North Dakota,Divide,46,20,33,21,39,18,18,2007
North Dakota,Dunn,46,17,14,35,36,17,45,2013
North Dakota,Eddy,46,20,28,42,21,42,11,2017
North Dakota,Emmons,46,20,30,14,42,41,7,2021
North Dakota,Foster,46,20,1,25,12,7,23,2026
North Dakota,Golden Valley,46,NR,NR,NR,NR,NR,NR,2036
North Dakota,Grand Forks,46,8,36,5,3,8,44,2043
North Dakota,Grant,46,20,34,33,44,34,8,2051
North Dakota,Griggs,46,20,25,24,33,13,9,2056
North Dakota,Hettinger,46,20,39,17,38,38,21,2063
North Dakota,Kidder,46,20,41,40,31,39,3,2068
North Dakota,LaMoure,46,20,11,26,28,25,19,2074
North Dakota,Logan,46,NR,NR,NR,NR,NR,NR,2078
North Dakota,McHenry,46,14,7,30,24,36,24,2082
North Dakota,McIntosh,46,20,40,6,43,43,13,2090
North Dakota,McKenzie,46,19,32,15,30,22,39,2097
North Dakota,McLean,46,13,13,28,26,23,14,2103
North Dakota,Mercer,46,3,18,20,14,19,4,2107
North Dakota,Morton,46,10,29,10,19,24,31,2114
North Dakota,Mountrail,46,44,27,43,41,28,27,2119
North Dakota,Nelson,46,20,22,41,17,29,25,2122
North Dakota,Oliver,46,NR,NR,NR,NR,NR,NR,2127
North Dakota,Pembina,46,18,20,39,40,33,26,2131
North Dakota,Pierce,46,20,43,38,37,37,43,2136
North Dakota,Ramsey,46,9,38,18,6,32,15,2141
North Dakota,Ransom,46,41,6,11,22,10,22,2147
North Dakota,Renville,46,20,24,16,10,12,30,2150
North Dakota,Richland,46,16,21,12,18,20,40,2156
North Dakota,Rolette,46,43,45,45,46,45,41,2161
North Dakota,Sargent,46,20,4,36,20,5,16,2164
North Dakota,Sheridan,46,NR,NR,NR,NR,NR,NR,2169
North Dakota,Sioux,46,46,46,44,45,46,35,2175
North Dakota,Slope,46,NR,NR,NR,NR,NR,NR,2180
North Dakota,Stark,46,7,23,23,13,14,28,2182
North Dakota,Steele,46,NR,NR,NR,NR,NR,NR,2186
North Dakota,Stutsman,46,6,31,8,1,27,29,2199
North Dakota,Towner,46,20,35,31,32,35,5,2205
North Dakota,Traill,46,1,2,13,15,1,37,2217
North Dakota,Walsh,46,12,37,29,34,40,32,2225
North Dakota,Ward,46,4,9,9,5,11,46,2233
North Dakota,Wells,46,20,17,19,8,31,6,2237
North Dakota,Williams,46,15,10,34,25,21,42,2244
Ohio,Adams,88,79,88,87,87,88,58,2248
Ohio,Allen,88,39,67,47,47,43,17,2250
Ohio,Ashland,88,20,17,35,51,34,35,2254
Ohio,Ashtabula,88,72,73,78,78,76,86,2259
Ohio,Athens,88,13,71,36,33,68,36,2266
Ohio,Auglaize,88,8,8,19,43,7,40,2273
Ohio,Belmont,88,45,58,45,83,51,65,2278
Ohio,Brown,88,75,55,32,77,64,63,2282
